CL0	53.4	14.4	+6.1	20.5	+33.0
CL1	73.0	24.3	+6.6	30.9	+42.1
CL2	57.4	18.3	+5.8	24.1	+33.4
CS0	62.5	14.6	+12.6	27.2	+35.3
CS1	52.2	14.5	+6.7	21.2	+31.0
CS2	55.1	17.3	+6.7	24.0	+31.0
CS3	57.5	16.8	+5.9	22.7	+34.8
CS4	79.0	45.7	+5.5	51.3	+27.7
LH0	54.9	16.0	+7.6	23.6	+31.3
LH1	58.3	17.8	+7.2	25.0	+33.3
LH3	48.5	17.8	+5.5	23.3	+25.2
MED1	47.7	14.1	+6.8	20.9	+26.8
MED2	46.4	20.0	+3.8	23.8	+22.6
MED3	64.1	14.0	+4.1	18.1	+46.0
MED4	49.3	16.1	+11.9	28.0	+21.3
MR0	43.3	22.5	+261.1	283.6	-240.3
MR1	50.7	20.6	+3.6	24.2	+26.4
MR2	48.4	12.5	+5.9	18.4	+29.9
MR3	47.5	13.3	+11.4	24.6	+22.9
S2_hold4	48.8	24.2	+298.2	322.4	-273.6
SH0	51.5	15.1	+5.9	21.0	+30.5
SH1	50.7	14.0	+5.7	19.7	+31.1
SH2	59.2	18.4	+8.4	26.8	+32.5
SH3	53.7	15.7	+15.4	31.1	+22.6
SH4	48.3	14.9	+4.5	19.4	+28.8
SH5	51.8	14.6	+12.1	26.7	+25.1
V0	58.0	20.1	+322.0	342.1	-284.1
V1	49.5	17.4	+6.8	24.2	+25.3
V2	49.9	17.2	+5.2	22.4	+27.4
V3	50.6	18.6	+14.7	33.3	+17.3
ZZ_MED0_contaminated	54.1	16.8	+7.9	24.7	+29.4
