tag	regime	chunks	dispatch_gap_ms	stop_start_minus_md_return_ms	md_hook_dur_ms	read_vs_immediate_publish_ms	read_vs_slow_publish_ms	buf_immediate	buf_slow
CL0	control	7	+6.1	-57.8	63.9	-33.0	-43.3	STALE	STALE
CL1	control	7	+6.6	-78.0	84.6	-42.1	-53.6	STALE	STALE
CL2	control	7	+5.8	-62.2	68.0	-33.4	-43.8	STALE	STALE
CS0	control	1	+12.6	-59.1	71.7	-35.3	-44.5	STALE	STALE
CS1	control	1	+6.7	-55.0	61.7	-31.0	-40.4	STALE	STALE
CS2	control	1	+6.7	-59.1	65.9	-31.0	-41.7	STALE	STALE
CS3	control	1	+5.9	-64.8	70.8	-34.8	-47.9	STALE	STALE
CS4	control	1	+5.5	-81.7	87.3	-27.7	-35.9	STALE	STALE
L3_hold4	hold4	7	+3.3	-4091.6	4094.8	+38.1	-3991.0	NA	NA
LH0	hold4	7	+7.6	-4077.3	4084.8	-31.3	-4061.1	STALE	STALE
LH1	hold4	7	+7.2	-4073.7	4080.9	-33.3	-4055.7	STALE	STALE
LH3	hold4	14	+5.5	-4068.9	4074.4	-25.2	-4050.9	STALE	STALE
MED1	hold4	1	+6.8	-4065.1	4071.9	-26.8	-4050.7	STALE	STALE
MED2	hold4	1	+3.8	-4072.4	4076.2	-22.6	-4052.3	STALE	STALE
MED3	hold4	1	+4.1	-4098.9	4103.0	-46.0	-4084.7	STALE	STALE
MED4	hold4	1	+11.9	-4063.9	4075.9	-21.3	-4047.6	STALE	STALE
MR0	control	7	+261.1	+209.7	51.3	+240.3	+232.3	fresh	fresh
MR1	control	7	+3.6	-59.9	63.5	-26.4	-39.2	STALE	STALE
MR2	control	7	+5.9	-50.5	56.4	-29.9	-37.9	STALE	STALE
MR3	control	7	+11.4	-46.8	58.1	-22.9	-33.4	STALE	STALE
S1_hold4	hold4	1	+1.9	-4114.1	4116.0	+26.8	-4014.7	NA	NA
S2_hold4	hold4	1	+298.2	-3776.6	4074.8	+273.6	-3752.3	fresh	STALE
SH0	hold4	1	+5.9	-4070.5	4076.4	-30.5	-4055.2	STALE	STALE
SH1	hold4	1	+5.7	-4071.0	4076.7	-31.1	-4056.9	STALE	STALE
SH2	hold4	1	+8.4	-4084.2	4092.6	-32.5	-4065.7	STALE	STALE
SH3	hold4	1	+15.4	-4083.6	4099.1	-22.6	-4067.8	STALE	STALE
SH4	hold4	1	+4.5	-4066.8	4071.3	-28.8	-4051.8	STALE	STALE
SH5	hold4	1	+12.1	-4072.3	4084.4	-25.1	-4057.6	STALE	STALE
V0	hold4	2	+322.0	-3773.8	4095.8	+284.1	-3753.5	fresh	STALE
V1	hold4	1	+6.8	-4084.1	4090.9	-25.3	-4066.3	STALE	STALE
V2	hold4	1	+5.2	-4081.5	4086.7	-27.4	-4064.0	STALE	STALE
V3	hold4	1	+14.7	-4064.6	4079.3	-17.3	-4045.8	STALE	STALE
