scenario	protocol	N	stall_ms	rep	owners
S1_init	current	2	0	1	1
S1_init	current	2	0	2	1
S1_init	current	2	0	3	1
S1_init	current	2	0	4	1
S1_init	current	2	0	5	1
S1_init	current	2	0	6	1
S1_init	current	2	0	7	1
S1_init	current	2	0	8	1
S1_init	current	2	0	9	1
S1_init	current	2	0	10	1
S1_init	current	2	0	11	1
S1_init	current	2	0	12	1
S1_init	current	2	0	13	1
S1_init	current	2	0	14	1
S1_init	current	2	0	15	1
S1_init	current	2	0	16	1
S1_init	current	2	0	17	1
S1_init	current	2	0	18	1
S1_init	current	2	0	19	1
S1_init	current	2	0	20	1
S1_init	current	2	5	1	1
S1_init	current	2	5	2	1
S1_init	current	2	5	3	1
S1_init	current	2	5	4	1
S1_init	current	2	5	5	1
S1_init	current	2	5	6	1
S1_init	current	2	5	7	1
S1_init	current	2	5	8	1
S1_init	current	2	5	9	1
S1_init	current	2	5	10	1
S1_init	current	2	5	11	1
S1_init	current	2	5	12	1
S1_init	current	2	5	13	1
S1_init	current	2	5	14	1
S1_init	current	2	5	15	1
S1_init	current	2	5	16	1
S1_init	current	2	5	17	1
S1_init	current	2	5	18	1
S1_init	current	2	5	19	1
S1_init	current	2	5	20	1
S1_init	current	2	50	1	2
S1_init	current	2	50	2	2
S1_init	current	2	50	3	2
S1_init	current	2	50	4	2
S1_init	current	2	50	5	2
S1_init	current	2	50	6	2
S1_init	current	2	50	7	2
S1_init	current	2	50	8	2
S1_init	current	2	50	9	2
S1_init	current	2	50	10	2
S1_init	current	2	50	11	2
S1_init	current	2	50	12	2
S1_init	current	2	50	13	2
S1_init	current	2	50	14	2
S1_init	current	2	50	15	2
S1_init	current	2	50	16	2
S1_init	current	2	50	17	2
S1_init	current	2	50	18	2
S1_init	current	2	50	19	2
S1_init	current	2	50	20	2
S1_init	current	4	0	1	1
S1_init	current	4	0	2	1
S1_init	current	4	0	3	1
S1_init	current	4	0	4	1
S1_init	current	4	0	5	1
S1_init	current	4	0	6	1
S1_init	current	4	0	7	1
S1_init	current	4	0	8	1
S1_init	current	4	0	9	1
S1_init	current	4	0	10	1
S1_init	current	4	0	11	1
S1_init	current	4	0	12	1
S1_init	current	4	0	13	1
S1_init	current	4	0	14	1
S1_init	current	4	0	15	1
S1_init	current	4	0	16	1
S1_init	current	4	0	17	1
S1_init	current	4	0	18	1
S1_init	current	4	0	19	1
S1_init	current	4	0	20	1
S1_init	current	4	5	1	1
S1_init	current	4	5	2	1
S1_init	current	4	5	3	1
S1_init	current	4	5	4	1
S1_init	current	4	5	5	1
S1_init	current	4	5	6	1
S1_init	current	4	5	7	1
S1_init	current	4	5	8	1
S1_init	current	4	5	9	1
S1_init	current	4	5	10	1
S1_init	current	4	5	11	1
S1_init	current	4	5	12	1
S1_init	current	4	5	13	1
S1_init	current	4	5	14	1
S1_init	current	4	5	15	1
S1_init	current	4	5	16	1
S1_init	current	4	5	17	1
S1_init	current	4	5	18	1
S1_init	current	4	5	19	1
S1_init	current	4	5	20	1
S1_init	current	4	50	1	2
S1_init	current	4	50	2	2
S1_init	current	4	50	3	2
S1_init	current	4	50	4	2
S1_init	current	4	50	5	2
S1_init	current	4	50	6	2
S1_init	current	4	50	7	2
S1_init	current	4	50	8	2
S1_init	current	4	50	9	2
S1_init	current	4	50	10	2
S1_init	current	4	50	11	3
S1_init	current	4	50	12	2
S1_init	current	4	50	13	2
S1_init	current	4	50	14	2
S1_init	current	4	50	15	2
S1_init	current	4	50	16	2
S1_init	current	4	50	17	2
S1_init	current	4	50	18	2
S1_init	current	4	50	19	2
S1_init	current	4	50	20	2
S1_init	current	8	0	1	1
S1_init	current	8	0	2	1
S1_init	current	8	0	3	1
S1_init	current	8	0	4	1
S1_init	current	8	0	5	1
S1_init	current	8	0	6	1
S1_init	current	8	0	7	1
S1_init	current	8	0	8	1
S1_init	current	8	0	9	1
S1_init	current	8	0	10	1
S1_init	current	8	0	11	1
S1_init	current	8	0	12	1
S1_init	current	8	0	13	1
S1_init	current	8	0	14	1
S1_init	current	8	0	15	1
S1_init	current	8	0	16	1
S1_init	current	8	0	17	1
S1_init	current	8	0	18	1
S1_init	current	8	0	19	1
S1_init	current	8	0	20	1
