tag	event	ts
t10a	entry	1787693822.717197658
t10b	entry	1787693824.488013329
t11a	entry	1787693830.656918936
t11b	entry	1787693832.463591188
t12a	entry	1787693838.652721467
t12b	entry	1787693840.428592942
t1a	entry	1787693751.026523070
t1b	entry	1787693752.831047336
t2a	entry	1787693759.050401311
t2b	entry	1787693760.807297649
t3a	entry	1787693766.949897409
t3b	entry	1787693768.693998863
t4a	entry	1787693774.854369103
t4b	entry	1787693776.653192651
t5a	entry	1787693782.838206079
t5b	entry	1787693784.626503731
t6a	entry	1787693790.800927262
t6b	entry	1787693792.563126443
t7a	entry	1787693798.714381528
t7b	entry	1787693800.498738953
t8a	entry	1787693806.771150327
t8b	entry	1787693808.577970621
t9a	entry	1787693814.747965345
t9b	entry	1787693816.533316014
warmup	entry	1787693745.828087759
t10a	K	1787693822.717419532
t10b	K	1787693824.488273203
t11a	K	1787693830.657018227
t11b	K	1787693832.463983894
t12a	K	1787693838.652982757
t12b	K	1787693840.428764857
t1a	K	1787693751.026740985
t1b	K	1787693752.831830582
t2a	K	1787693759.050653768
t2b	K	1787693760.807383356
t3a	K	1787693766.950055033
t3b	K	1787693768.694158654
t4a	K	1787693774.855012932
t4b	K	1787693776.653420774
t5a	K	1787693782.838616410
t5b	K	1787693784.626737397
t6a	K	1787693790.801029303
t6b	K	1787693792.563368567
t7a	K	1787693798.714533694
t7b	K	1787693800.498862494
t8a	K	1787693806.771641491
t8b	K	1787693808.578064912
t9a	K	1787693814.748377426
t9b	K	1787693816.533729512
warmup	K	1787693745.828554589
t10a	R	1787693822.838430070
t10b	R	1787693824.610810524
t11a	R	1787693830.800289301
t11b	R	1787693832.591218021
t12a	R	1787693838.783808613
t12b	R	1787693840.549047568
t1a	R	1787693751.158424794
t1b	R	1787693752.954766484
t2a	R	1787693759.170007316
t2b	R	1787693760.918257288
t3a	R	1787693767.061349295
t3b	R	1787693768.810619011
t4a	R	1787693774.984746253
t4b	R	1787693776.776424051
t5a	R	1787693782.970000470
t5b	R	1787693784.746562984
t6a	R	1787693790.920342435
t6b	R	1787693792.677987976
t7a	R	1787693798.834200698
t7b	R	1787693800.704963575
t8a	R	1787693806.912400163
t8b	R	1787693808.701269688
t9a	R	1787693814.871128954
t9b	R	1787693816.653190893
warmup	R	1787693745.956951501
t10a	Rdone	1787693822.849677504
t10b	Rdone	1787693824.623307951
t11a	Rdone	1787693830.820386475
t11b	Rdone	1787693832.610912989
t12a	Rdone	1787693838.796920369
t12b	Rdone	1787693840.564183937
t1a	Rdone	1787693751.176489146
t1b	Rdone	1787693752.993374090
t2a	Rdone	1787693759.181064668
t2b	Rdone	1787693760.925564953
t3a	Rdone	1787693767.068350213
t3b	Rdone	1787693768.820109997
t4a	Rdone	1787693775.007773826
t4b	Rdone	1787693776.789986638
t5a	Rdone	1787693782.986002918
t5b	Rdone	1787693784.760240820
t6a	Rdone	1787693790.930612250
t6b	Rdone	1787693792.687929418
t7a	Rdone	1787693798.844760678
t7b	Rdone	1787693800.715183848
t8a	Rdone	1787693806.929047690
t8b	Rdone	1787693808.713833530
t9a	Rdone	1787693814.884995623
t9b	Rdone	1787693816.684823957
warmup	Rdone	1787693745.968538641
