tag	event	ts
t10a	entry	1787686195.973108185
t10b	entry	1787686197.751398348
t11a	entry	1787686203.912816797
t11b	entry	1787686205.665223517
t12a	entry	1787686211.832498564
t12b	entry	1787686213.568489450
t1a	entry	1787686124.427767577
t1b	entry	1787686126.216811143
t2a	entry	1787686132.390438249
t2b	entry	1787686134.161426976
t3a	entry	1787686140.336590669
t3b	entry	1787686142.109000733
t4a	entry	1787686148.283056173
t4b	entry	1787686150.071458279
t5a	entry	1787686156.239714037
t5b	entry	1787686158.024552050
t6a	entry	1787686164.185709290
t6b	entry	1787686165.970606262
t7a	entry	1787686172.144469160
t7b	entry	1787686173.923832576
t8a	entry	1787686180.099370311
t8b	entry	1787686181.871948376
t9a	entry	1787686188.039251673
t9b	entry	1787686189.814498828
warmup	entry	1787686119.229361737
t10a	K	1787686195.973329769
t10b	K	1787686197.752152850
t11a	K	1787686203.913008506
t11b	K	1787686205.665498684
t12a	K	1787686211.832819315
t12b	K	1787686213.568580366
t1a	K	1787686124.428221412
t1b	K	1787686126.216994435
t2a	K	1787686132.390679624
t2b	K	1787686134.161532809
t3a	K	1787686140.336772544
t3b	K	1787686142.109126067
t4a	K	1787686148.283412382
t4b	K	1787686150.071701321
t5a	K	1787686156.239896412
t5b	K	1787686158.025076135
t6a	K	1787686164.185823165
t6b	K	1787686165.970836387
t7a	K	1787686172.144694410
t7b	K	1787686173.924004576
t8a	K	1787686180.099568978
t8b	K	1787686181.872133418
t9a	K	1787686188.039492840
t9b	K	1787686189.814714953
warmup	K	1787686119.229660821
t10a	R	1787686196.098407181
t10b	R	1787686197.877832555
t11a	R	1787686204.019304284
t11b	R	1787686205.790405304
t12a	R	1787686211.944813567
t12b	R	1787686213.688798848
t1a	R	1787686124.560083924
t1b	R	1787686126.337645919
t2a	R	1787686132.516787955
t2b	R	1787686134.284014922
t3a	R	1787686140.469037891
t3b	R	1787686142.228495546
t4a	R	1787686148.411769260
t4b	R	1787686150.195681438
t5a	R	1787686156.367526622
t5b	R	1787686158.148760501
t6a	R	1787686164.309313489
t6b	R	1787686166.089906950
t7a	R	1787686172.269894072
t7b	R	1787686174.042169969
t8a	R	1787686180.224064721
t8b	R	1787686181.990142894
t9a	R	1787686188.173628983
t9b	R	1787686189.923568489
warmup	R	1787686119.364504842
t10a	Rdone	1787686196.111925591
t10b	Rdone	1787686197.890285546
t11a	Rdone	1787686204.028339266
t11b	Rdone	1787686205.800512830
t12a	Rdone	1787686211.949893289
t12b	Rdone	1787686213.696969036
t1a	Rdone	1787686124.575576756
t1b	Rdone	1787686126.349443324
t2a	Rdone	1787686132.531086951
t2b	Rdone	1787686134.296097829
t3a	Rdone	1787686140.478459082
t3b	Rdone	1787686142.239169949
t4a	Rdone	1787686148.423623833
t4b	Rdone	1787686150.204087293
t5a	Rdone	1787686156.379784279
t5b	Rdone	1787686158.158461318
t6a	Rdone	1787686164.320720727
t6b	Rdone	1787686166.101426605
t7a	Rdone	1787686172.281851436
t7b	Rdone	1787686174.054661710
t8a	Rdone	1787686180.234746791
t8b	Rdone	1787686182.001117423
t9a	Rdone	1787686188.186175849
t9b	Rdone	1787686189.933378806
warmup	Rdone	1787686119.372649738
