tag	event	ts
t10a	entry	1787694052.395382968
t10b	entry	1787694053.981417228
t11a	entry	1787694063.096413183
t11b	entry	1787694064.675458151
t12a	entry	1787694073.808444876
t12b	entry	1787694075.362303866
t1a	entry	1787693955.796616150
t1b	entry	1787693957.354965989
t2a	entry	1787693966.481700584
t2b	entry	1787693968.062538416
t3a	entry	1787693977.186634568
t3b	entry	1787693978.790703347
t4a	entry	1787693987.979975532
t4b	entry	1787693989.566732663
t5a	entry	1787693998.730302000
t5b	entry	1787694000.301084181
t6a	entry	1787694009.425169626
t6b	entry	1787694011.005657168
t7a	entry	1787694020.144884731
t7b	entry	1787694021.729990663
t8a	entry	1787694030.843966083
t8b	entry	1787694032.459093212
t9a	entry	1787694041.647857069
t9b	entry	1787694043.249544944
warmup	entry	1787693949.741290332
t10a	K	1787694052.395843299
t10b	K	1787694053.981705309
t11a	K	1787694063.096781223
t11b	K	1787694064.675765108
t12a	K	1787694073.808720208
t12b	K	1787694075.362576406
t1a	K	1787693955.796772358
t1b	K	1787693957.355047905
t2a	K	1787693966.482179581
t2b	K	1787693968.062751248
t3a	K	1787693977.187081357
t3b	K	1787693978.790853637
t4a	K	1787693987.980368905
t4b	K	1787693989.566985328
t5a	K	1787693998.730489082
t5b	K	1787694000.301307389
t6a	K	1787694009.425349916
t6b	K	1787694011.005968249
t7a	K	1787694020.145121271
t7b	K	1787694021.730375036
t8a	K	1787694030.844203123
t8b	K	1787694032.459558584
t9a	K	1787694041.648415815
t9b	K	1787694043.249833609
warmup	K	1787693949.741499581
t10a	R	1787694052.526155658
t10b	R	1787694054.115813479
t11a	R	1787694063.221919362
t11b	R	1787694064.795482070
t12a	R	1787694073.919636306
t12b	R	1787694075.484774770
t1a	R	1787693955.920097425
t1b	R	1787693957.468494238
t2a	R	1787693966.610081497
t2b	R	1787693968.186880935
t3a	R	1787693977.317252592
t3b	R	1787693978.918384554
t4a	R	1787693988.105609710
t4b	R	1787693989.697224896
t5a	R	1787693998.854135188
t5b	R	1787694000.427307064
t6a	R	1787694009.550213725
t6b	R	1787694011.132915169
t7a	R	1787694020.274186304
t7b	R	1787694021.848992588
t8a	R	1787694030.976739261
t8b	R	1787694032.603209699
t9a	R	1787694041.785481468
t9b	R	1787694043.378300353
warmup	R	1787693949.867378216
t10a	Rdone	1787694052.542457979
t10b	Rdone	1787694054.139875004
t11a	Rdone	1787694063.238861721
t11b	Rdone	1787694064.807110502
t12a	Rdone	1787694073.926221850
t12b	Rdone	1787694075.497914193
t1a	Rdone	1787693955.929576036
t1b	Rdone	1787693957.482749696
t2a	Rdone	1787693966.622648256
t2b	Rdone	1787693968.198914947
t3a	Rdone	1787693977.345426009
t3b	Rdone	1787693978.938108772
t4a	Rdone	1787693988.120487706
t4b	Rdone	1787693989.715488580
t5a	Rdone	1787693998.867223195
t5b	Rdone	1787694000.442314143
t6a	Rdone	1787694009.565580093
t6b	Rdone	1787694011.151416477
t7a	Rdone	1787694020.291513494
t7b	Rdone	1787694021.859051112
t8a	Rdone	1787694031.002969065
t8b	Rdone	1787694032.614060844
t9a	Rdone	1787694041.806594427
t9b	Rdone	1787694043.393180474
warmup	Rdone	1787693949.881286759
