tag	event	ts
t10a	entry	1787694183.682603317
t10b	entry	1787694185.266124465
t11a	entry	1787694194.001164363
t11b	entry	1787694195.577610263
t12a	entry	1787694204.314709148
t12b	entry	1787694205.899306041
t1a	entry	1787694090.881535631
t1b	entry	1787694092.481132935
t2a	entry	1787694101.250470756
t2b	entry	1787694102.837117554
t3a	entry	1787694111.562998339
t3b	entry	1787694113.134372934
t4a	entry	1787694121.820157122
t4b	entry	1787694123.388314069
t5a	entry	1787694132.032919624
t5b	entry	1787694133.616501523
t6a	entry	1787694142.383921063
t6b	entry	1787694143.965590807
t7a	entry	1787694152.747107307
t7b	entry	1787694154.337069293
t8a	entry	1787694163.086128817
t8b	entry	1787694164.664503621
t9a	entry	1787694173.335918518
t9b	entry	1787694174.889882591
warmup	entry	1787694084.851076000
t10a	K	1787694183.682835107
t10b	K	1787694185.266344631
t11a	K	1787694194.001542445
t11b	K	1787694195.577945094
t12a	K	1787694204.314945480
t12b	K	1787694205.899611956
t1a	K	1787694090.881917337
t1b	K	1787694092.481870805
t2a	K	1787694101.250804004
t2b	K	1787694102.837749717
t3a	K	1787694111.563365045
t3b	K	1787694113.134764515
t4a	K	1787694121.820351788
t4b	K	1787694123.388435152
t5a	K	1787694132.033290580
t5b	K	1787694133.616836563
t6a	K	1787694142.384086437
t6b	K	1787694143.965908347
t7a	K	1787694152.747438347
t7b	K	1787694154.337384166
t8a	K	1787694163.086327649
t8b	K	1787694164.664823786
t9a	K	1787694173.336081642
t9b	K	1787694174.890039715
warmup	K	1787694084.851412998
t10a	R	1787694183.807794081
t10b	R	1787694185.392203516
t11a	R	1787694194.119471793
t11b	R	1787694195.710911854
t12a	R	1787694204.442348398
t12b	R	1787694206.025099385
t1a	R	1787694091.012938441
t1b	R	1787694092.617516092
t2a	R	1787694101.378000715
t2b	R	1787694102.960779868
t3a	R	1787694111.683486172
t3b	R	1787694113.263849631
t4a	R	1787694121.941673157
t4b	R	1787694123.507693534
t5a	R	1787694132.158544469
t5b	R	1787694133.748397248
t6a	R	1787694142.512538474
t6b	R	1787694144.089389079
t7a	R	1787694152.877769539
t7b	R	1787694154.461984058
t8a	R	1787694163.213386527
t8b	R	1787694164.784368458
t9a	R	1787694173.453810408
t9b	R	1787694175.023208640
warmup	R	1787694084.972976325
t10a	Rdone	1787694183.819785468
t10b	Rdone	1787694185.400969297
t11a	Rdone	1787694194.132353217
t11b	Rdone	1787694195.731812065
t12a	Rdone	1787694204.456256774
t12b	Rdone	1787694206.034846286
t1a	Rdone	1787694091.031778747
t1b	Rdone	1787694092.633550956
t2a	Rdone	1787694101.391954383
t2b	Rdone	1787694102.971416681
t3a	Rdone	1787694111.697176050
t3b	Rdone	1787694113.280567700
t4a	Rdone	1787694121.957922937
t4b	Rdone	1787694123.519415341
t5a	Rdone	1787694132.175050080
t5b	Rdone	1787694133.770813783
t6a	Rdone	1787694142.527106764
t6b	Rdone	1787694144.100704388
t7a	Rdone	1787694152.897373465
t7b	Rdone	1787694154.478621919
t8a	Rdone	1787694163.224042672
t8b	Rdone	1787694164.794335400
t9a	Rdone	1787694173.464635511
t9b	Rdone	1787694175.029242230
warmup	Rdone	1787694084.983422930
