tag	event	ts
t10a	entry	1787695785.998108099
t10b	entry	1787695787.659202962
t11a	entry	1787695796.707848241
t11b	entry	1787695798.267703514
t12a	entry	1787695807.299742290
t12b	entry	1787695808.868962434
t1a	entry	1787695690.153090908
t1b	entry	1787695691.720941939
t2a	entry	1787695700.746173579
t2b	entry	1787695702.306253749
t3a	entry	1787695711.431267845
t3b	entry	1787695713.018875642
t4a	entry	1787695722.019233751
t4b	entry	1787695723.580191786
t5a	entry	1787695732.634182234
t5b	entry	1787695734.200420027
t6a	entry	1787695743.320940697
t6b	entry	1787695744.872691389
t7a	entry	1787695753.964699142
t7b	entry	1787695755.523711798
t8a	entry	1787695764.573649121
t8b	entry	1787695766.158690106
t9a	entry	1787695775.386658143
t9b	entry	1787695776.962441131
warmup	entry	1787695684.099836805
t10a	K	1787695785.998212182
t10b	K	1787695787.659329378
t11a	K	1787695796.708013698
t11b	K	1787695798.267893388
t12a	K	1787695807.299849539
t12b	K	1787695808.869330891
t1a	K	1787695690.153259699
t1b	K	1787695691.721104105
t2a	K	1787695700.746332119
t2b	K	1787695702.306347124
t3a	K	1787695711.431456594
t3b	K	1787695713.019011267
t4a	K	1787695722.019386250
t4b	K	1787695723.580386911
t5a	K	1787695732.634372983
t5b	K	1787695734.200600859
t6a	K	1787695743.321097863
t6b	K	1787695744.872784014
t7a	K	1787695753.964877766
t7b	K	1787695755.523898505
t8a	K	1787695764.574091327
t8b	K	1787695766.159166312
t9a	K	1787695775.386823434
t9b	K	1787695776.962659172
warmup	K	1787695684.100046804
t10a	R	1787695786.133435564
t10b	R	1787695787.778348923
t11a	R	1787695796.825275710
t11b	R	1787695798.389495254
t12a	R	1787695807.416054764
t12b	R	1787695808.999726797
t1a	R	1787695690.272432670
t1b	R	1787695691.838985123
t2a	R	1787695700.863921718
t2b	R	1787695702.417275379
t3a	R	1787695711.565531986
t3b	R	1787695713.136744154
t4a	R	1787695722.136487181
t4b	R	1787695723.699047292
t5a	R	1787695732.755168353
t5b	R	1787695734.322423099
t6a	R	1787695743.438500999
t6b	R	1787695744.981622692
t7a	R	1787695754.081964612
t7b	R	1787695755.645440663
t8a	R	1787695764.707142679
t8b	R	1787695766.295220024
t9a	R	1787695775.512963069
t9b	R	1787695777.079737268
warmup	R	1787695684.216698252
t10a	Rdone	1787695786.165064785
t10b	Rdone	1787695787.787845710
t11a	Rdone	1787695796.834248166
t11b	Rdone	1787695798.401084739
t12a	Rdone	1787695807.426076174
t12b	Rdone	1787695809.014808598
t1a	Rdone	1787695690.284792611
t1b	Rdone	1787695691.849335990
t2a	Rdone	1787695700.878458856
t2b	Rdone	1787695702.426195544
t3a	Rdone	1787695711.580805911
t3b	Rdone	1787695713.147274561
t4a	Rdone	1787695722.147052380
t4b	Rdone	1787695723.710282612
t5a	Rdone	1787695732.767093670
t5b	Rdone	1787695734.332161719
t6a	Rdone	1787695743.448138619
t6b	Rdone	1787695744.987757578
t7a	Rdone	1787695754.092225646
t7b	Rdone	1787695755.659395970
t8a	Rdone	1787695764.719808284
t8b	Rdone	1787695766.308912624
t9a	Rdone	1787695775.527077292
t9b	Rdone	1787695777.087238273
warmup	Rdone	1787695684.226590538
