tag	event	ts
t10a	entry	1787695916.692509344
t10b	entry	1787695918.264192268
t11a	entry	1787695926.949166443
t11b	entry	1787695928.518384170
t12a	entry	1787695937.166379483
t12b	entry	1787695938.725353678
t1a	entry	1787695824.328975342
t1b	entry	1787695825.902157092
t2a	entry	1787695834.756642732
t2b	entry	1787695836.315105929
t3a	entry	1787695844.999713730
t3b	entry	1787695846.582041061
t4a	entry	1787695855.374914335
t4b	entry	1787695856.950432157
t5a	entry	1787695865.617274628
t5b	entry	1787695867.196691014
t6a	entry	1787695875.886332750
t6b	entry	1787695877.447775098
t7a	entry	1787695886.041372844
t7b	entry	1787695887.598187257
t8a	entry	1787695896.225518088
t8b	entry	1787695897.770072685
t9a	entry	1787695906.438961355
t9b	entry	1787695908.016367751
warmup	entry	1787695818.283789719
t10a	K	1787695916.692781301
t10b	K	1787695918.264392267
t11a	K	1787695926.949388567
t11b	K	1787695928.518744294
t12a	K	1787695937.166653857
t12b	K	1787695938.725714259
t1a	K	1787695824.329070341
t1b	K	1787695825.902401507
t2a	K	1787695834.756730315
t2b	K	1787695836.315204512
t3a	K	1787695844.999899688
t3b	K	1787695846.582231143
t4a	K	1787695855.375429999
t4b	K	1787695856.950807071
t5a	K	1787695865.617459086
t5b	K	1787695867.196883388
t6a	K	1787695875.886509665
t6b	K	1787695877.447868306
t7a	K	1787695886.041467593
t7b	K	1787695887.598388256
t8a	K	1787695896.225604295
t8b	K	1787695897.770214726
t9a	K	1787695906.439153979
t9b	K	1787695908.016784833
warmup	K	1787695818.283917010
t10a	R	1787695916.814820665
t10b	R	1787695918.395354087
t11a	R	1787695927.070318686
t11b	R	1787695928.644219890
t12a	R	1787695937.282977290
t12b	R	1787695938.846380171
t1a	R	1787695824.445363899
t1b	R	1787695826.026390820
t2a	R	1787695834.874001869
t2b	R	1787695836.429918661
t3a	R	1787695845.121640678
t3b	R	1787695846.708132530
t4a	R	1787695855.498867064
t4b	R	1787695857.072815394
t5a	R	1787695865.739743239
t5b	R	1787695867.312952031
t6a	R	1787695876.009446942
t6b	R	1787695877.562972870
t7a	R	1787695886.156678740
t7b	R	1787695887.717873549
t8a	R	1787695896.337146960
t8b	R	1787695897.892045049
t9a	R	1787695906.559079270
t9b	R	1787695908.142741302
warmup	R	1787695818.400099569
t10a	Rdone	1787695916.825225531
t10b	Rdone	1787695918.406425658
t11a	Rdone	1787695927.080000097
t11b	Rdone	1787695928.656230248
t12a	Rdone	1787695937.291682706
t12b	Rdone	1787695938.854749089
t1a	Rdone	1787695824.453802567
t1b	Rdone	1787695826.037421224
t2a	Rdone	1787695834.882057163
t2b	Rdone	1787695836.445846875
t3a	Rdone	1787695845.132420167
t3b	Rdone	1787695846.726732314
t4a	Rdone	1787695855.510243259
t4b	Rdone	1787695857.080625647
t5a	Rdone	1787695865.751347350
t5b	Rdone	1787695867.320730035
t6a	Rdone	1787695876.019735183
t6b	Rdone	1787695877.569760087
t7a	Rdone	1787695886.164738201
t7b	Rdone	1787695887.727056379
t8a	Rdone	1787695896.344288300
t8b	Rdone	1787695897.903595701
t9a	Rdone	1787695906.567636728
t9b	Rdone	1787695908.152524129
warmup	Rdone	1787695818.404918212
