tag	event	ts
t10a	entry	1787694579.824926689
t10b	entry	1787694581.408666688
t11a	entry	1787694590.154182433
t11b	entry	1787694591.747490088
t12a	entry	1787694600.519645856
t12b	entry	1787694602.107235246
t1a	entry	1787694486.958769099
t1b	entry	1787694488.545622656
t2a	entry	1787694497.318751332
t2b	entry	1787694498.915620173
t3a	entry	1787694507.612534220
t3b	entry	1787694509.218016667
t4a	entry	1787694517.904913796
t4b	entry	1787694519.500468043
t5a	entry	1787694528.174558919
t5b	entry	1787694529.758454279
t6a	entry	1787694538.537389270
t6b	entry	1787694540.126045007
t7a	entry	1787694548.874563124
t7b	entry	1787694550.463332310
t8a	entry	1787694559.175807984
t8b	entry	1787694560.758127716
t9a	entry	1787694569.476438756
t9b	entry	1787694571.062344501
warmup	entry	1787694480.872538612
t10a	K	1787694579.825126230
t10b	K	1787694581.409067602
t11a	K	1787694590.154544473
t11b	K	1787694591.747739587
t12a	K	1787694600.519837314
t12b	K	1787694602.107403495
t1a	K	1787694486.959239139
t1b	K	1787694488.545856072
t2a	K	1787694497.320424867
t2b	K	1787694498.915880297
t3a	K	1787694507.612742678
t3b	K	1787694509.218561040
t4a	K	1787694517.905144545
t4b	K	1787694519.500719833
t5a	K	1787694528.174996625
t5b	K	1787694529.758874985
t6a	K	1787694538.537618685
t6b	K	1787694540.126593671
t7a	K	1787694548.874747665
t7b	K	1787694550.463474185
t8a	K	1787694559.176078399
t8b	K	1787694560.758338424
t9a	K	1787694569.476722547
t9b	K	1787694571.062640874
warmup	K	1787694480.873177944
t10a	R	1787694579.949908039
t10b	R	1787694581.527485817
t11a	R	1787694590.296587739
t11b	R	1787694591.890491600
t12a	R	1787694600.653380705
t12b	R	1787694602.236934822
t1a	R	1787694487.086756511
t1b	R	1787694488.673030755
t2a	R	1787694497.455239053
t2b	R	1787694499.047075356
t3a	R	1787694507.758380331
t3b	R	1787694509.358099799
t4a	R	1787694518.032671373
t4b	R	1787694519.639876355
t5a	R	1787694528.303964056
t5b	R	1787694529.893878260
t6a	R	1787694538.667848851
t6b	R	1787694540.257306333
t7a	R	1787694549.003779249
t7b	R	1787694550.583593228
t8a	R	1787694559.304558359
t8b	R	1787694560.888644166
t9a	R	1787694569.607321537
t9b	R	1787694571.193023532
warmup	R	1787694481.008508498
t10a	Rdone	1787694579.960325155
t10b	Rdone	1787694581.537009896
t11a	Rdone	1787694590.316733349
t11b	Rdone	1787694591.909050218
t12a	Rdone	1787694600.671255034
t12b	Rdone	1787694602.250332799
t1a	Rdone	1787694487.096962606
t1b	Rdone	1787694488.686079171
t2a	Rdone	1787694497.466012303
t2b	Rdone	1787694499.065158117
t3a	Rdone	1787694507.772239021
t3b	Rdone	1787694509.378174044
t4a	Rdone	1787694518.053807443
t4b	Rdone	1787694519.656059696
t5a	Rdone	1787694528.317799282
t5b	Rdone	1787694529.911666883
t6a	Rdone	1787694538.686537095
t6b	Rdone	1787694540.272006971
t7a	Rdone	1787694549.019746339
t7b	Rdone	1787694550.597191162
t8a	Rdone	1787694559.317415088
t8b	Rdone	1787694560.899967486
t9a	Rdone	1787694569.621505593
t9b	Rdone	1787694571.204080978
warmup	Rdone	1787694481.026214503
