tag	event	ts
t10a	entry	1787696927.078039640
t10b	entry	1787696928.656328292
t11a	entry	1787696937.209502149
t11b	entry	1787696938.805346852
t12a	entry	1787696947.319902521
t12b	entry	1787696948.898358883
t1a	entry	1787696836.338669528
t1b	entry	1787696837.920898808
t2a	entry	1787696846.356698649
t2b	entry	1787696847.924293546
t3a	entry	1787696856.444398763
t3b	entry	1787696858.015823205
t4a	entry	1787696866.570585855
t4b	entry	1787696868.171292560
t5a	entry	1787696876.691196317
t5b	entry	1787696878.279492849
t6a	entry	1787696886.794973562
t6b	entry	1787696888.336793904
t7a	entry	1787696896.792574504
t7b	entry	1787696898.374196990
t8a	entry	1787696906.871478526
t8b	entry	1787696908.454446473
t9a	entry	1787696916.936490959
t9b	entry	1787696918.507851025
warmup	entry	1787696830.327498402
t10a	K	1787696927.078154474
t10b	K	1787696928.656717334
t11a	K	1787696937.209871191
t11b	K	1787696938.805710394
t12a	K	1787696947.320095854
t12b	K	1787696948.898521633
t1a	K	1787696836.338802028
t1b	K	1787696837.921222058
t2a	K	1787696846.356896191
t2b	K	1787696847.924396421
t3a	K	1787696856.444584346
t3b	K	1787696858.016141163
t4a	K	1787696866.571024730
t4b	K	1787696868.171721394
t5a	K	1787696876.691342900
t5b	K	1787696878.279674433
t6a	K	1787696886.795067854
t6b	K	1787696888.337473154
t7a	K	1787696896.792681670
t7b	K	1787696898.374375657
t8a	K	1787696906.871875402
t8b	K	1787696908.454651140
t9a	K	1787696916.936695668
t9b	K	1787696918.507947067
warmup	K	1787696830.327609027
t10a	R	1787696927.200493162
t10b	R	1787696928.799248074
t11a	R	1787696937.345601053
t11b	R	1787696938.934708794
t12a	R	1787696947.448011629
t12b	R	1787696949.022355530
t1a	R	1787696836.465252969
t1b	R	1787696838.039491161
t2a	R	1787696846.473384335
t2b	R	1787696848.055031364
t3a	R	1787696856.570025412
t3b	R	1787696858.145901606
t4a	R	1787696866.704514258
t4b	R	1787696868.312858467
t5a	R	1787696876.822135052
t5b	R	1787696878.403596497
t6a	R	1787696886.898614491
t6b	R	1787696888.468192555
t7a	R	1787696896.921282696
t7b	R	1787696898.494054011
t8a	R	1787696906.997992467
t8b	R	1787696908.573649743
t9a	R	1787696917.063837067
t9b	R	1787696918.634745132
warmup	R	1787696830.445356463
t10a	Rdone	1787696927.212182252
t10b	Rdone	1787696928.813556290
t11a	Rdone	1787696937.358528018
t11b	Rdone	1787696938.945628383
t12a	Rdone	1787696947.459831719
t12b	Rdone	1787696949.032196369
t1a	Rdone	1787696836.475788933
t1b	Rdone	1787696838.053452752
t2a	Rdone	1787696846.486018091
t2b	Rdone	1787696848.069401997
t3a	Rdone	1787696856.582622918
t3b	Rdone	1787696858.161691530
t4a	Rdone	1787696866.717578473
t4b	Rdone	1787696868.326300641
t5a	Rdone	1787696876.834822017
t5b	Rdone	1787696878.414958670
t6a	Rdone	1787696886.902711618
t6b	Rdone	1787696888.480331728
t7a	Rdone	1787696896.933898827
t7b	Rdone	1787696898.504466766
t8a	Rdone	1787696907.012772183
t8b	Rdone	1787696908.586167416
t9a	Rdone	1787696917.077475283
t9b	Rdone	1787696918.645359429
warmup	Rdone	1787696830.458095845
