tag	event	ts
t10a	entry	1787697570.240263189
t10b	entry	1787697572.002811708
t10c	entry	1787697574.078537085
t11a	entry	1787697580.266805418
t11b	entry	1787697582.061074141
t11c	entry	1787697584.154134087
t12a	entry	1787697590.345147131
t12b	entry	1787697592.134920745
t12c	entry	1787697594.214923812
t1a	entry	1787697479.798538407
t1b	entry	1787697481.580854289
t1c	entry	1787697483.648809862
t2a	entry	1787697489.827759566
t2b	entry	1787697491.602720112
t2c	entry	1787697493.672715810
t3a	entry	1787697499.848795722
t3b	entry	1787697501.612808344
t3c	entry	1787697503.690684464
t4a	entry	1787697509.883941426
t4b	entry	1787697511.671928561
t4c	entry	1787697513.779379612
t5a	entry	1787697519.976604326
t5b	entry	1787697521.758428875
t5c	entry	1787697523.854747837
t6a	entry	1787697530.033196583
t6b	entry	1787697531.796944873
t6c	entry	1787697533.872763366
t7a	entry	1787697540.063150826
t7b	entry	1787697541.837206705
t7c	entry	1787697543.919750118
t8a	entry	1787697550.122164126
t8b	entry	1787697551.920176475
t8c	entry	1787697553.999222887
t9a	entry	1787697560.184543636
t9b	entry	1787697561.981214401
t9c	entry	1787697564.069766943
warmup	entry	1787697474.605054005
t10a	K	1787697570.240364980
t10b	K	1787697572.003249376
t10c	K	1787697574.078775585
t11a	K	1787697580.267030126
t11b	K	1787697582.061490642
t11c	K	1787697584.154356629
t12a	K	1787697590.345862381
t12b	K	1787697592.135111078
t12c	K	1787697594.215172187
t1a	K	1787697479.798730990
t1b	K	1787697481.581012873
t1c	K	1787697483.649006112
t2a	K	1787697489.827955150
t2b	K	1787697491.602880570
t2c	K	1787697493.672924852
t3a	K	1787697499.848965305
t3b	K	1787697501.612986094
t3c	K	1787697503.690879630
t4a	K	1787697509.884198592
t4b	K	1787697511.672172019
t4c	K	1787697513.779913029
t5a	K	1787697519.977059452
t5b	K	1787697521.758629667
t5c	K	1787697523.854994754
t6a	K	1787697530.033378042
t6b	K	1787697531.797107873
t6c	K	1787697533.873051908
t7a	K	1787697540.063319368
t7b	K	1787697541.837390621
t7c	K	1787697543.919926201
t8a	K	1787697550.122388501
t8b	K	1787697551.920931059
t8c	K	1787697553.999601095
t9a	K	1787697560.184952720
t9b	K	1787697561.981555985
t9c	K	1787697564.069962860
warmup	K	1787697474.605250797
t10a	R	1787697570.350358096
t10b	R	1787697572.125585294
t10c	R	1787697574.208869834
t11a	R	1787697580.398122341
t11b	R	1787697582.197288648
t11c	R	1787697584.284879537
t12a	R	1787697590.474454188
t12b	R	1787697592.262659589
t12c	R	1787697594.349527491
t1a	R	1787697479.927431141
t1b	R	1787697481.697406516
t1c	R	1787697483.772082301
t2a	R	1787697489.951510172
t2b	R	1787697491.723321257
t2c	R	1787697493.796997416
t3a	R	1787697499.967331783
t3b	R	1787697501.736344283
t3c	R	1787697503.820540864
t4a	R	1787697510.017603662
t4b	R	1787697511.812724467
t4c	R	1787697513.905725970
t5a	R	1787697520.105433518
t5b	R	1787697521.884763399
t5c	R	1787697523.984205363
t6a	R	1787697530.150113894
t6b	R	1787697531.919691020
t6c	R	1787697534.007581436
t7a	R	1787697540.185941474
t7b	R	1787697541.968938315
t7c	R	1787697544.053288479
t8a	R	1787697550.259950905
t8b	R	1787697552.049905334
t8c	R	1787697554.128057954
t9a	R	1787697560.320380581
t9b	R	1787697562.107965134
t9c	R	1787697564.194795133
warmup	R	1787697474.727920485
t10a	Rdone	1787697570.357475356
t10b	Rdone	1787697572.138062519
t10c	Rdone	1787697574.221778975
t11a	Rdone	1787697580.410795353
t11b	Rdone	1787697582.213274787
t11c	Rdone	1787697584.297516965
t12a	Rdone	1787697590.488153074
t12b	Rdone	1787697592.274311140
t12c	Rdone	1787697594.364272294
t1a	Rdone	1787697479.938307771
t1b	Rdone	1787697481.707823230
t1c	Rdone	1787697483.783647640
t2a	Rdone	1787697489.962123011
t2b	Rdone	1787697491.733334679
t2c	Rdone	1787697493.808018130
t3a	Rdone	1787697499.977606747
t3b	Rdone	1787697501.748099831
t3c	Rdone	1787697503.832194412
t4a	Rdone	1787697510.032859670
t4b	Rdone	1787697511.827073183
t4c	Rdone	1787697513.920265269
t5a	Rdone	1787697520.116689607
t5b	Rdone	1787697521.896494322
t5c	Rdone	1787697523.997038161
t6a	Rdone	1787697530.162612359
t6b	Rdone	1787697531.929678067
t6c	Rdone	1787697534.020232401
t7a	Rdone	1787697540.198951564
t7b	Rdone	1787697541.979441487
t7c	Rdone	1787697544.065338652
t8a	Rdone	1787697550.271654453
t8b	Rdone	1787697552.060270256
t8c	Rdone	1787697554.141065461
t9a	Rdone	1787697560.335906756
t9b	Rdone	1787697562.123619267
t9c	Rdone	1787697564.207427556
warmup	Rdone	1787697474.738321407
