tag	event	ts
t10a	entry	1787697704.202993653
t10b	entry	1787697705.982828744
t10c	entry	1787697708.067442869
t11a	entry	1787697714.253570287
t11b	entry	1787697716.042870551
t11c	entry	1787697718.132220303
t12a	entry	1787697724.329330186
t12b	entry	1787697726.119799740
t12c	entry	1787697728.201933946
t1a	entry	1787697613.841524774
t1b	entry	1787697615.601524490
t1c	entry	1787697617.687610672
t2a	entry	1787697623.856577474
t2b	entry	1787697625.624215692
t2c	entry	1787697627.721179540
t3a	entry	1787697633.916521626
t3b	entry	1787697635.701289746
t3c	entry	1787697637.775020684
t4a	entry	1787697643.949149950
t4b	entry	1787697645.738692726
t4c	entry	1787697647.821723280
t5a	entry	1787697653.987523806
t5b	entry	1787697655.775189782
t5c	entry	1787697657.864663625
t6a	entry	1787697664.039097474
t6b	entry	1787697665.827111531
t6c	entry	1787697667.899798486
t7a	entry	1787697674.067420990
t7b	entry	1787697675.849683874
t7c	entry	1787697677.928310080
t8a	entry	1787697684.110089005
t8b	entry	1787697685.903516688
t8c	entry	1787697687.988404106
t9a	entry	1787697694.182601574
t9b	entry	1787697695.972229128
t9c	entry	1787697698.053773835
warmup	entry	1787697608.663406071
t10a	K	1787697704.203172570
t10b	K	1787697705.983197619
t10c	K	1787697708.067617578
t11a	K	1787697714.253784038
t11b	K	1787697716.043091759
t11c	K	1787697718.132410345
t12a	K	1787697724.329698936
t12b	K	1787697726.119983907
t12c	K	1787697728.202330655
t1a	K	1787697613.841668149
t1b	K	1787697615.601719406
t1c	K	1787697617.687796839
t2a	K	1787697623.856818016
t2b	K	1787697625.625827609
t2c	K	1787697627.721436165
t3a	K	1787697633.916720418
t3b	K	1787697635.701466080
t3c	K	1787697637.775237809
t4a	K	1787697643.949340575
t4b	K	1787697645.738863726
t4c	K	1787697647.821933031
t5a	K	1787697653.987693598
t5b	K	1787697655.775618241
t5c	K	1787697657.864852917
t6a	K	1787697664.039290016
t6b	K	1787697665.827541948
t6c	K	1787697667.899950361
t7a	K	1787697674.067616907
t7b	K	1787697675.850053833
t7c	K	1787697677.928505497
t8a	K	1787697684.110441505
t8b	K	1787697685.903716355
t8c	K	1787697687.988667981
t9a	K	1787697694.182831699
t9b	K	1787697695.972839837
t9c	K	1787697698.053967002
warmup	K	1787697608.663602780
t10a	R	1787697704.320431006
t10b	R	1787697706.114885313
t10c	R	1787697708.198303479
t11a	R	1787697714.380457145
t11b	R	1787697716.177897329
t11c	R	1787697718.258927201
t12a	R	1787697724.466992549
t12b	R	1787697726.243717845
t12c	R	1787697728.335819682
t1a	R	1787697613.951016171
t1b	R	1787697615.736802192
t1c	R	1787697617.812844909
t2a	R	1787697623.978436999
t2b	R	1787697625.763526768
t2c	R	1787697627.862827659
t3a	R	1787697634.049229364
t3b	R	1787697635.822132894
t3c	R	1787697637.897962374
t4a	R	1787697644.082264812
t4b	R	1787697645.860883498
t4c	R	1787697647.940044134
t5a	R	1787697654.111822871
t5b	R	1787697655.908382102
t5c	R	1787697657.987860565
t6a	R	1787697664.162907831
t6b	R	1787697665.951917763
t6c	R	1787697668.019614173
t7a	R	1787697674.191971430
t7b	R	1787697675.977960274
t7c	R	1787697678.052346895
t8a	R	1787697684.249503078
t8b	R	1787697686.026677877
t8c	R	1787697688.115435297
t9a	R	1787697694.309537555
t9b	R	1787697696.103252404
t9c	R	1787697698.167852478
warmup	R	1787697608.782908143
t10a	Rdone	1787697704.332912054
t10b	Rdone	1787697706.127105736
t10c	Rdone	1787697708.213228402
t11a	Rdone	1787697714.392361693
t11b	Rdone	1787697716.190004335
t11c	Rdone	1787697718.271753791
t12a	Rdone	1787697724.481357848
t12b	Rdone	1787697726.255145893
t12c	Rdone	1787697728.349979189
t1a	Rdone	1787697613.959172425
t1b	Rdone	1787697615.751762367
t1c	Rdone	1787697617.824832708
t2a	Rdone	1787697623.988485547
t2b	Rdone	1787697625.774372107
t2c	Rdone	1787697627.875465374
t3a	Rdone	1787697634.063214996
t3b	Rdone	1787697635.834214817
t3c	Rdone	1787697637.907154087
t4a	Rdone	1787697644.096372736
t4b	Rdone	1787697645.873124380
t4c	Rdone	1787697647.949991348
t5a	Rdone	1787697654.123422419
t5b	Rdone	1787697655.921413984
t5c	Rdone	1787697657.998822487
t6a	Rdone	1787697664.173243878
t6b	Rdone	1787697665.961084934
t6c	Rdone	1787697668.030567846
t7a	Rdone	1787697674.200930393
t7b	Rdone	1787697675.988667905
t7c	Rdone	1787697678.062041067
t8a	Rdone	1787697684.265991086
t8b	Rdone	1787697686.035808423
t8c	Rdone	1787697688.131878680
t9a	Rdone	1787697694.322577937
t9b	Rdone	1787697696.114878285
t9c	Rdone	1787697698.176579024
warmup	Rdone	1787697608.792125565
