tag	event	ts
t10a	entry	1787695176.439973034
t10b	entry	1787695177.026018969
t11a	entry	1787695184.887625323
t11b	entry	1787695185.470196193
t12a	entry	1787695193.417777753
t12b	entry	1787695193.998089508
t1a	entry	1787695100.232679838
t1b	entry	1787695100.826709443
t2a	entry	1787695108.651077979
t2b	entry	1787695109.234320678
t3a	entry	1787695117.090510850
t3b	entry	1787695117.672561139
t4a	entry	1787695125.545706270
t4b	entry	1787695126.131223208
t5a	entry	1787695134.016917236
t5b	entry	1787695134.594229673
t6a	entry	1787695142.496086747
t6b	entry	1787695143.075524173
t7a	entry	1787695150.941585589
t7b	entry	1787695151.538529513
t8a	entry	1787695159.393516983
t8b	entry	1787695159.992232940
t9a	entry	1787695167.920947259
t9b	entry	1787695168.540885571
warmup	entry	1787695094.134804389
t10a	K	1787695176.440202074
t10b	K	1787695177.026146927
t11a	K	1787695184.887900072
t11b	K	1787695185.470779106
t12a	K	1787695193.418165209
t12b	K	1787695193.998385965
t1a	K	1787695100.232894837
t1b	K	1787695100.826980609
t2a	K	1787695108.651789559
t2b	K	1787695109.234531802
t3a	K	1787695117.090728308
t3b	K	1787695117.673149303
t4a	K	1787695125.545850352
t4b	K	1787695126.131351457
t5a	K	1787695134.017543691
t5b	K	1787695134.594453130
t6a	K	1787695142.496295913
t6b	K	1787695143.075789839
t7a	K	1787695150.942040587
t7b	K	1787695151.541647498
t8a	K	1787695159.393773440
t8b	K	1787695159.992772771
t9a	K	1787695167.921228799
t9b	K	1787695168.542110523
warmup	K	1787695094.134997596
t10a	R	1787695176.570603606
t10b	R	1787695177.142041321
t11a	R	1787695185.012000717
t11b	R	1787695185.607169692
t12a	R	1787695193.539609701
t12b	R	1787695194.128287707
t1a	R	1787695100.362174957
t1b	R	1787695100.943683957
t2a	R	1787695108.781255511
t2b	R	1787695109.357125496
t3a	R	1787695117.227932556
t3b	R	1787695117.810358884
t4a	R	1787695125.671543782
t4b	R	1787695126.257644633
t5a	R	1787695134.147200601
t5b	R	1787695134.722131049
t6a	R	1787695142.625682657
t6b	R	1787695143.201320894
t7a	R	1787695151.067488142
t7b	R	1787695151.654795238
t8a	R	1787695159.526937666
t8b	R	1787695160.128490234
t9a	R	1787695168.062722526
t9b	R	1787695168.675667372
warmup	R	1787695094.267153744
t10a	Rdone	1787695176.588484560
t10b	Rdone	1787695177.162675512
t11a	Rdone	1787695185.023665827
t11b	Rdone	1787695185.627877091
t12a	Rdone	1787695193.557110740
t12b	Rdone	1787695194.147476155
t1a	Rdone	1787695100.382455192
t1b	Rdone	1787695100.952274873
t2a	Rdone	1787695108.799719254
t2b	Rdone	1787695109.367607820
t3a	Rdone	1787695117.237663341
t3b	Rdone	1787695117.826834345
t4a	Rdone	1787695125.685624088
t4b	Rdone	1787695126.271758648
t5a	Rdone	1787695134.159572624
t5b	Rdone	1787695134.736236481
t6a	Rdone	1787695142.639528007
t6b	Rdone	1787695143.217435732
t7a	Rdone	1787695151.079602500
t7b	Rdone	1787695151.660363128
t8a	Rdone	1787695159.547783356
t8b	Rdone	1787695160.147307268
t9a	Rdone	1787695168.081245311
t9b	Rdone	1787695168.689540846
warmup	Rdone	1787695094.274649791
