tag	event	ts
t10a	entry	1787695292.495520575
t10b	entry	1787695293.074725085
t11a	entry	1787695301.817716144
t11b	entry	1787695302.399976057
t12a	entry	1787695311.272128736
t12b	entry	1787695311.848322469
t1a	entry	1787695208.377876221
t1b	entry	1787695208.967300099
t2a	entry	1787695217.768505999
t2b	entry	1787695218.361726983
t3a	entry	1787695227.141671736
t3b	entry	1787695227.728647417
t4a	entry	1787695236.529992400
t4b	entry	1787695237.130433474
t5a	entry	1787695245.899527864
t5b	entry	1787695246.467916260
t6a	entry	1787695255.259422832
t6b	entry	1787695255.855227471
t7a	entry	1787695264.553172874
t7b	entry	1787695265.132622967
t8a	entry	1787695273.863690875
t8b	entry	1787695274.446054412
t9a	entry	1787695283.218403411
t9b	entry	1787695283.802178982
warmup	entry	1787695202.280335687
t10a	K	1787695292.495695532
t10b	K	1787695293.075021334
t11a	K	1787695301.818098600
t11b	K	1787695302.400276222
t12a	K	1787695311.272268152
t12b	K	1787695311.848678509
t1a	K	1787695208.378081554
t1b	K	1787695208.967708680
t2a	K	1787695217.768889413
t2b	K	1787695218.361943607
t3a	K	1787695227.142081151
t3b	K	1787695227.728775750
t4a	K	1787695236.530151774
t4b	K	1787695237.131075762
t5a	K	1787695245.899865029
t5b	K	1787695246.468107343
t6a	K	1787695255.259619165
t6b	K	1787695255.855681427
t7a	K	1787695264.553372623
t7b	K	1787695265.132846965
t8a	K	1787695273.864170164
t8b	K	1787695274.446257286
t9a	K	1787695283.218624035
t9b	K	1787695283.802397148
warmup	K	1787695202.280842893
t10a	R	1787695292.617140940
t10b	R	1787695293.197730652
t11a	R	1787695301.947249471
t11b	R	1787695302.528400139
t12a	R	1787695311.401613271
t12b	R	1787695311.981469487
t1a	R	1787695208.508317461
t1b	R	1787695209.103258228
t2a	R	1787695217.900424981
t2b	R	1787695218.492935426
t3a	R	1787695227.272119267
t3b	R	1787695227.849644619
t4a	R	1787695236.668169935
t4b	R	1787695237.269455838
t5a	R	1787695246.018824824
t5b	R	1787695246.597981793
t6a	R	1787695255.392744099
t6b	R	1787695255.993803129
t7a	R	1787695264.671230257
t7b	R	1787695265.251297305
t8a	R	1787695273.987906811
t8b	R	1787695274.581528335
t9a	R	1787695283.341084313
t9b	R	1787695283.931957642
warmup	R	1787695202.420707045
t10a	Rdone	1787695292.633795192
t10b	Rdone	1787695293.211542668
t11a	Rdone	1787695301.960575739
t11b	Rdone	1787695302.542833985
t12a	Rdone	1787695311.411405557
t12b	Rdone	1787695311.993018556
t1a	Rdone	1787695208.528639528
t1b	Rdone	1787695209.121229640
t2a	Rdone	1787695217.915949614
t2b	Rdone	1787695218.510796965
t3a	Rdone	1787695227.291381715
t3b	Rdone	1787695227.864623380
t4a	Rdone	1787695236.681772910
t4b	Rdone	1787695237.284251058
t5a	Rdone	1787695246.032227134
t5b	Rdone	1787695246.617963696
t6a	Rdone	1787695255.405008998
t6b	Rdone	1787695256.012990743
t7a	Rdone	1787695264.684185360
t7b	Rdone	1787695265.272645201
t8a	Rdone	1787695274.000523833
t8b	Rdone	1787695274.596792261
t9a	Rdone	1787695283.356630362
t9b	Rdone	1787695283.946159281
warmup	Rdone	1787695202.436337843
