tag	event	ts
t10a	entry	1787697177.346123182
t10b	entry	1787697177.934476029
t11a	entry	1787697186.708962704
t11b	entry	1787697187.293826007
t12a	entry	1787697195.980440513
t12b	entry	1787697196.546323639
t1a	entry	1787697093.684057753
t1b	entry	1787697094.252876382
t2a	entry	1787697103.018318057
t2b	entry	1787697103.600380443
t3a	entry	1787697112.334840684
t3b	entry	1787697112.910819983
t4a	entry	1787697121.625188842
t4b	entry	1787697122.205733977
t5a	entry	1787697130.854373133
t5b	entry	1787697131.432277349
t6a	entry	1787697140.144368413
t6b	entry	1787697140.729705592
t7a	entry	1787697149.423683147
t7b	entry	1787697150.028891378
t8a	entry	1787697158.768525082
t8b	entry	1787697159.345083923
t9a	entry	1787697168.046767231
t9b	entry	1787697168.614952735
warmup	entry	1787697087.658826208
t10a	K	1787697177.346382932
t10b	K	1787697177.934585821
t11a	K	1787697186.709391038
t11b	K	1787697187.294031549
t12a	K	1787697195.980624888
t12b	K	1787697196.546592473
t1a	K	1787697093.684285212
t1b	K	1787697094.253267007
t2a	K	1787697103.018559849
t2b	K	1787697103.600853943
t3a	K	1787697112.335067059
t3b	K	1787697112.911046941
t4a	K	1787697121.625371301
t4b	K	1787697122.205925519
t5a	K	1787697130.854514591
t5b	K	1787697131.432572391
t6a	K	1787697140.144648371
t6b	K	1787697140.729880925
t7a	K	1787697149.423925397
t7b	K	1787697150.029174878
t8a	K	1787697158.768711999
t8b	K	1787697159.345446882
t9a	K	1787697168.046869606
t9b	K	1787697168.615161235
warmup	K	1787697087.659550958
t10a	R	1787697177.478918293
t10b	R	1787697178.061633804
t11a	R	1787697186.839869689
t11b	R	1787697187.427379368
t12a	R	1787697196.097636241
t12b	R	1787697196.681871876
t1a	R	1787697093.801496564
t1b	R	1787697094.397505082
t2a	R	1787697103.147523500
t2b	R	1787697103.731196178
t3a	R	1787697112.459037082
t3b	R	1787697113.036180298
t4a	R	1787697121.753631034
t4b	R	1787697122.331890542
t5a	R	1787697130.978116155
t5b	R	1787697131.566234544
t6a	R	1787697140.276553440
t6b	R	1787697140.852471739
t7a	R	1787697149.551109713
t7b	R	1787697150.168006867
t8a	R	1787697158.893098397
t8b	R	1787697159.478383576
t9a	R	1787697168.168834170
t9b	R	1787697168.747195137
warmup	R	1787697087.784429648
t10a	Rdone	1787697177.495324051
t10b	Rdone	1787697178.076546770
t11a	Rdone	1787697186.852366112
t11b	Rdone	1787697187.437155915
t12a	Rdone	1787697196.109772663
t12b	Rdone	1787697196.694816091
t1a	Rdone	1787697093.811137277
t1b	Rdone	1787697094.414760341
t2a	Rdone	1787697103.158912922
t2b	Rdone	1787697103.749900521
t3a	Rdone	1787697112.473552256
t3b	Rdone	1787697113.045983303
t4a	Rdone	1787697121.768707250
t4b	Rdone	1787697122.348253092
t5a	Rdone	1787697130.988922453
t5b	Rdone	1787697131.575332215
t6a	Rdone	1787697140.288982572
t6b	Rdone	1787697140.863463245
t7a	Rdone	1787697149.563073886
t7b	Rdone	1787697150.181258041
t8a	Rdone	1787697158.905548403
t8b	Rdone	1787697159.494037000
t9a	Rdone	1787697168.180561342
t9b	Rdone	1787697168.755119224
warmup	Rdone	1787697087.793515611
