tag	event	ts
t10a	entry	1787697056.349692412
t10b	entry	1787697057.940785906
t11a	entry	1787697066.697510991
t11b	entry	1787697068.285658190
t12a	entry	1787697077.005208010
t12b	entry	1787697078.579810202
t1a	entry	1787696963.767357519
t1b	entry	1787696965.349083215
t2a	entry	1787696974.071505951
t2b	entry	1787696975.647965561
t3a	entry	1787696984.345957991
t3b	entry	1787696985.917595391
t4a	entry	1787696994.637527875
t4b	entry	1787696996.208274066
t5a	entry	1787697004.875462650
t5b	entry	1787697006.461518972
t6a	entry	1787697015.198324800
t6b	entry	1787697016.774988785
t7a	entry	1787697025.436236697
t7b	entry	1787697026.998988801
t8a	entry	1787697035.657428546
t8b	entry	1787697037.238604575
t9a	entry	1787697046.004394917
t9b	entry	1787697047.590948407
warmup	entry	1787696957.711390541
t10a	K	1787697056.349881454
t10b	K	1787697057.940938239
t11a	K	1787697066.697763700
t11b	K	1787697068.288878067
t12a	K	1787697077.005348510
t12b	K	1787697078.580062869
t1a	K	1787696963.767570811
t1b	K	1787696965.349423507
t2a	K	1787696974.071679535
t2b	K	1787696975.648184270
t3a	K	1787696984.346173116
t3b	K	1787696985.917858600
t4a	K	1787696994.637750250
t4b	K	1787696996.208469150
t5a	K	1787697004.875972442
t5b	K	1787697006.461720056
t6a	K	1787697015.198707967
t6b	K	1787697016.775242035
t7a	K	1787697025.436357364
t7b	K	1787697026.999182343
t8a	K	1787697035.657632171
t8b	K	1787697037.239073658
t9a	K	1787697046.004500209
t9b	K	1787697047.591195365
warmup	K	1787696957.711580666
t10a	R	1787697056.485967733
t10b	R	1787697058.063043928
t11a	R	1787697066.830545560
t11b	R	1787697068.431685225
t12a	R	1787697077.130833242
t12b	R	1787697078.708374768
t1a	R	1787696963.897536753
t1b	R	1787696965.484586827
t2a	R	1787696974.203241228
t2b	R	1787696975.781781714
t3a	R	1787696984.469572555
t3b	R	1787696986.063836634
t4a	R	1787696994.754149144
t4b	R	1787696996.342052511
t5a	R	1787697005.009275720
t5b	R	1787697006.596598959
t6a	R	1787697015.324678615
t6b	R	1787697016.894651681
t7a	R	1787697025.550232090
t7b	R	1787697027.123894366
t8a	R	1787697035.785903779
t8b	R	1787697037.369083642
t9a	R	1787697046.131190566
t9b	R	1787697047.721244391
warmup	R	1787696957.849711613
t10a	Rdone	1787697056.508411620
t10b	Rdone	1787697058.074312183
t11a	Rdone	1787697066.840085649
t11b	Rdone	1787697068.443921023
t12a	Rdone	1787697077.141882289
t12b	Rdone	1787697078.724200194
t1a	Rdone	1787696963.907235092
t1b	Rdone	1787696965.500218210
t2a	Rdone	1787696974.215191776
t2b	Rdone	1787696975.797397055
t3a	Rdone	1787696984.479833103
t3b	Rdone	1787696986.074198972
t4a	Rdone	1787696994.765963567
t4b	Rdone	1787696996.353802475
t5a	Rdone	1787697005.019786475
t5b	Rdone	1787697006.614318260
t6a	Rdone	1787697015.335324412
t6b	Rdone	1787697016.905008436
t7a	Rdone	1787697025.561265221
t7b	Rdone	1787697027.135096955
t8a	Rdone	1787697035.797375827
t8b	Rdone	1787697037.380132272
t9a	Rdone	1787697046.143086197
t9b	Rdone	1787697047.730575771
warmup	Rdone	1787696957.861848119
