tag	event	ts
t10a	entry	1787696302.853926888
t10b	entry	1787696304.414049201
t11a	entry	1787696313.414451505
t11b	entry	1787696314.973116576
t12a	entry	1787696323.990958254
t12b	entry	1787696325.556660998
t1a	entry	1787696207.859671540
t1b	entry	1787696209.408190119
t2a	entry	1787696218.383981084
t2b	entry	1787696219.927669811
t3a	entry	1787696228.920086738
t3b	entry	1787696230.468809940
t4a	entry	1787696239.456206100
t4b	entry	1787696241.008623409
t5a	entry	1787696250.076727258
t5b	entry	1787696251.628218239
t6a	entry	1787696260.671460293
t6b	entry	1787696262.225911759
t7a	entry	1787696271.235187478
t7b	entry	1787696272.789813860
t8a	entry	1787696281.794463060
t8b	entry	1787696283.339004241
t9a	entry	1787696292.318496856
t9b	entry	1787696293.866924893
warmup	entry	1787696201.892937952
t10a	K	1787696302.854070720
t10b	K	1787696304.414196034
t11a	K	1787696313.414646088
t11b	K	1787696314.973286242
t12a	K	1787696323.991113753
t12b	K	1787696325.556765540
t1a	K	1787696207.859768248
t1b	K	1787696209.408295035
t2a	K	1787696218.384073001
t2b	K	1787696219.927781852
t3a	K	1787696228.920206071
t3b	K	1787696230.468922981
t4a	K	1787696239.456321140
t4b	K	1787696241.008744658
t5a	K	1787696250.076900591
t5b	K	1787696251.628326697
t6a	K	1787696260.671545501
t6b	K	1787696262.226042216
t7a	K	1787696271.235281061
t7b	K	1787696272.789936109
t8a	K	1787696281.794555310
t8b	K	1787696283.339132741
t9a	K	1787696292.318599689
t9b	K	1787696293.867045518
warmup	K	1787696201.893052993
t10a	R	1787696302.968984827
t10b	R	1787696304.532135376
t11a	R	1787696313.530768189
t11b	R	1787696315.092154704
t12a	R	1787696324.113189866
t12b	R	1787696325.670936650
t1a	R	1787696207.973102737
t1b	R	1787696209.521407942
t2a	R	1787696218.493179052
t2b	R	1787696220.041111467
t3a	R	1787696229.033362102
t3b	R	1787696230.582707344
t4a	R	1787696239.570716166
t4b	R	1787696241.122949727
t5a	R	1787696250.193227690
t5b	R	1787696251.739239698
t6a	R	1787696260.785475237
t6b	R	1787696262.344678430
t7a	R	1787696271.350884373
t7b	R	1787696272.902948101
t8a	R	1787696281.903160656
t8b	R	1787696283.452160482
t9a	R	1787696292.431996303
t9b	R	1787696293.982692162
warmup	R	1787696202.004977822
t10a	Rdone	1787696302.977176537
t10b	Rdone	1787696304.540473043
t11a	Rdone	1787696313.539581604
t11b	Rdone	1787696315.101968531
t12a	Rdone	1787696324.123906272
t12b	Rdone	1787696325.680891809
t1a	Rdone	1787696207.982256609
t1b	Rdone	1787696209.529273279
t2a	Rdone	1787696218.502468465
t2b	Rdone	1787696220.050594337
t3a	Rdone	1787696229.040473693
t3b	Rdone	1787696230.590503680
t4a	Rdone	1787696239.579892163
t4b	Rdone	1787696241.132259890
t5a	Rdone	1787696250.202925476
t5b	Rdone	1787696251.749901021
t6a	Rdone	1787696260.793167616
t6b	Rdone	1787696262.354449257
t7a	Rdone	1787696271.359844287
t7b	Rdone	1787696272.908712947
t8a	Rdone	1787696281.911574948
t8b	Rdone	1787696283.458418201
t9a	Rdone	1787696292.438291980
t9b	Rdone	1787696293.991865076
warmup	Rdone	1787696202.014273777
