tag	event	ts
t10a	entry	1787697304.391704025
t10b	entry	1787697305.978659724
t11a	entry	1787697314.713537295
t11b	entry	1787697316.304181244
t12a	entry	1787697324.959429484
t12b	entry	1787697326.532123799
t1a	entry	1787697211.731663514
t1b	entry	1787697213.296465242
t2a	entry	1787697222.032130606
t2b	entry	1787697223.622252806
t3a	entry	1787697232.272797000
t3b	entry	1787697233.848687901
t4a	entry	1787697242.577062219
t4b	entry	1787697244.157941289
t5a	entry	1787697252.831200120
t5b	entry	1787697254.409935480
t6a	entry	1787697263.068460638
t6b	entry	1787697264.654905418
t7a	entry	1787697273.413249127
t7b	entry	1787697275.002627118
t8a	entry	1787697283.805527975
t8b	entry	1787697285.388549795
t9a	entry	1787697294.124276493
t9b	entry	1787697295.713952442
warmup	entry	1787697205.651907028
t10a	K	1787697304.392036609
t10b	K	1787697305.978827099
t11a	K	1787697314.713892337
t11b	K	1787697316.304287203
t12a	K	1787697324.959576400
t12b	K	1787697326.532356007
t1a	K	1787697211.731779723
t1b	K	1787697213.296642576
t2a	K	1787697222.032321898
t2b	K	1787697223.622551389
t3a	K	1787697232.273039000
t3b	K	1787697233.848837901
t4a	K	1787697242.577441761
t4b	K	1787697244.158162831
t5a	K	1787697252.831451037
t5b	K	1787697254.410119855
t6a	K	1787697263.068547846
t6b	K	1787697264.655092752
t7a	K	1787697273.413429210
t7b	K	1787697275.002907035
t8a	K	1787697283.805766808
t8b	K	1787697285.388780129
t9a	K	1787697294.124451201
t9b	K	1787697295.714302525
warmup	K	1787697205.652246861
t10a	R	1787697304.526689387
t10b	R	1787697306.101764246
t11a	R	1787697314.854036535
t11b	R	1787697316.415306885
t12a	R	1787697325.084895549
t12b	R	1787697326.669634329
t1a	R	1787697211.846778949
t1b	R	1787697213.428128477
t2a	R	1787697222.162464258
t2b	R	1787697223.749888455
t3a	R	1787697232.396644772
t3b	R	1787697233.975838217
t4a	R	1787697242.713070039
t4b	R	1787697244.293309025
t5a	R	1787697252.956330602
t5b	R	1787697254.539611839
t6a	R	1787697263.198520330
t6b	R	1787697264.784911111
t7a	R	1787697273.544591028
t7b	R	1787697275.135546020
t8a	R	1787697283.933159708
t8b	R	1787697285.514455361
t9a	R	1787697294.255389810
t9b	R	1787697295.842402092
warmup	R	1787697205.779701094
t10a	Rdone	1787697304.536739767
t10b	Rdone	1787697306.115102753
t11a	Rdone	1787697314.867470792
t11b	Rdone	1787697316.425226016
t12a	Rdone	1787697325.095194804
t12b	Rdone	1787697326.678508583
t1a	Rdone	1787697211.854822995
t1b	Rdone	1787697213.440436567
t2a	Rdone	1787697222.174999556
t2b	Rdone	1787697223.760304961
t3a	Rdone	1787697232.407827612
t3b	Rdone	1787697233.987352681
t4a	Rdone	1787697242.724727504
t4b	Rdone	1787697244.307877366
t5a	Rdone	1787697252.970461276
t5b	Rdone	1787697254.554704472
t6a	Rdone	1787697263.210447628
t6b	Rdone	1787697264.794507532
t7a	Rdone	1787697273.559182369
t7b	Rdone	1787697275.149625028
t8a	Rdone	1787697283.943983922
t8b	Rdone	1787697285.524501241
t9a	Rdone	1787697294.268027400
t9b	Rdone	1787697295.855003515
warmup	Rdone	1787697205.791428725
