tag	event	ts
t10a	entry	1787684425.993540706
t10b	entry	1787684427.550605150
t11a	entry	1787684433.714136480
t11b	entry	1787684435.284473482
t12a	entry	1787684441.453617817
t12b	entry	1787684443.026359863
t1a	entry	1787684356.458154177
t1b	entry	1787684358.022798130
t2a	entry	1787684364.180996955
t2b	entry	1787684365.769918101
t3a	entry	1787684371.943449234
t3b	entry	1787684373.513694943
t4a	entry	1787684379.669012556
t4b	entry	1787684381.242042727
t5a	entry	1787684387.411165439
t5b	entry	1787684388.953994700
t6a	entry	1787684395.105534767
t6b	entry	1787684396.666415299
t7a	entry	1787684402.806550020
t7b	entry	1787684404.369910222
t8a	entry	1787684410.531994758
t8b	entry	1787684412.104625096
t9a	entry	1787684418.288887283
t9b	entry	1787684419.855927821
warmup	entry	1787684351.260457132
t10a	K	1787684425.993770248
t10b	K	1787684427.550684191
t11a	K	1787684433.714340439
t11b	K	1787684435.284707524
t12a	K	1787684441.453861068
t12b	K	1787684443.026561489
t1a	K	1787684356.458329552
t1b	K	1787684358.022995714
t2a	K	1787684364.181182330
t2b	K	1787684365.770330060
t3a	K	1787684371.943694610
t3b	K	1787684373.513967652
t4a	K	1787684379.669151389
t4b	K	1787684381.242217435
t5a	K	1787684387.411285022
t5b	K	1787684388.954269242
t6a	K	1787684395.105663851
t6b	K	1787684396.666547216
t7a	K	1787684402.806698312
t7b	K	1787684404.370029055
t8a	K	1787684410.532190258
t8b	K	1787684412.104901471
t9a	K	1787684418.289255075
t9b	K	1787684419.856031196
warmup	K	1787684351.260656799
t10a	R	1787684426.110514295
t10b	R	1787684427.673627662
t11a	R	1787684433.835408741
t11b	R	1787684435.401532946
t12a	R	1787684441.571910033
t12b	R	1787684443.140784366
t1a	R	1787684356.580783355
t1b	R	1787684358.138767051
t2a	R	1787684364.310536891
t2b	R	1787684365.894321156
t3a	R	1787684372.065166787
t3b	R	1787684373.626531569
t4a	R	1787684379.790916067
t4b	R	1787684381.366712199
t5a	R	1787684387.515766888
t5b	R	1787684389.065737908
t6a	R	1787684395.225045901
t6b	R	1787684396.773679335
t7a	R	1787684402.925764611
t7b	R	1787684404.487522269
t8a	R	1787684410.652921268
t8b	R	1787684412.233341114
t9a	R	1787684418.414103755
t9b	R	1787684419.965000901
warmup	R	1787684351.384899146
t10a	Rdone	1787684426.120594264
t10b	Rdone	1787684427.684263757
t11a	Rdone	1787684433.845597585
t11b	Rdone	1787684435.414857669
t12a	Rdone	1787684441.586465841
t12b	Rdone	1787684443.153937381
t1a	Rdone	1787684356.590198491
t1b	Rdone	1787684358.146589102
t2a	Rdone	1787684364.324179406
t2b	Rdone	1787684365.907090837
t3a	Rdone	1787684372.077606634
t3b	Rdone	1787684373.639756417
t4a	Rdone	1787684379.804789457
t4b	Rdone	1787684381.378635671
t5a	Rdone	1787684387.520341143
t5b	Rdone	1787684389.074939127
t6a	Rdone	1787684395.234260119
t6b	Rdone	1787684396.778576591
t7a	Rdone	1787684402.935601831
t7b	Rdone	1787684404.498303739
t8a	Rdone	1787684410.664372073
t8b	Rdone	1787684412.249608049
t9a	Rdone	1787684418.429136772
t9b	Rdone	1787684419.969606614
warmup	Rdone	1787684351.398750287
