tag	event	ts
t10a	entry	1787684525.335587211
t10b	entry	1787684526.902980729
t11a	entry	1787684533.067170027
t11b	entry	1787684534.642916137
t12a	entry	1787684540.835968011
t12b	entry	1787684542.411698480
t1a	entry	1787684455.536056810
t1b	entry	1787684457.111233859
t2a	entry	1787684463.289646664
t2b	entry	1787684464.879019103
t3a	entry	1787684471.050462109
t3b	entry	1787684472.615307936
t4a	entry	1787684478.780409227
t4b	entry	1787684480.333058750
t5a	entry	1787684486.509927761
t5b	entry	1787684488.094466487
t6a	entry	1787684494.269229864
t6b	entry	1787684495.867240841
t7a	entry	1787684502.050734494
t7b	entry	1787684503.627796896
t8a	entry	1787684509.806266555
t8b	entry	1787684511.389092485
t9a	entry	1787684517.569151854
t9b	entry	1787684519.167930166
warmup	entry	1787684450.347504485
t10a	K	1787684525.335757295
t10b	K	1787684526.903106520
t11a	K	1787684533.067394861
t11b	K	1787684534.643342513
t12a	K	1787684540.836118678
t12b	K	1787684542.412017230
t1a	K	1787684455.536354519
t1b	K	1787684457.111501026
t2a	K	1787684463.289855623
t2b	K	1787684464.879190395
t3a	K	1787684471.050899484
t3b	K	1787684472.615476062
t4a	K	1787684478.780504060
t4b	K	1787684480.333232959
t5a	K	1787684486.510044553
t5b	K	1787684488.095179946
t6a	K	1787684494.269639406
t6b	K	1787684495.867583883
t7a	K	1787684502.050920535
t7b	K	1787684503.628024104
t8a	K	1787684509.806808264
t8b	K	1787684511.389508569
t9a	K	1787684517.569654438
t9b	K	1787684519.168120291
warmup	K	1787684450.347675027
t10a	R	1787684525.456492171
t10b	R	1787684527.024221356
t11a	R	1787684533.194900289
t11b	R	1787684534.772693402
t12a	R	1787684540.957600018
t12b	R	1787684542.539803744
t1a	R	1787684455.660877241
t1b	R	1787684457.237867834
t2a	R	1787684463.414792762
t2b	R	1787684464.998194986
t3a	R	1787684471.172940246
t3b	R	1787684472.733032693
t4a	R	1787684478.893471270
t4b	R	1787684480.456401179
t5a	R	1787684486.629691687
t5b	R	1787684488.223876465
t6a	R	1787684494.400023359
t6b	R	1787684495.997669632
t7a	R	1787684502.177107676
t7b	R	1787684503.753936041
t8a	R	1787684509.936158758
t8b	R	1787684511.511761559
t9a	R	1787684517.713039831
t9b	R	1787684519.291121206
warmup	R	1787684450.464203239
t10a	Rdone	1787684525.466473723
t10b	Rdone	1787684527.037215119
t11a	Rdone	1787684533.207235094
t11b	Rdone	1787684534.788905586
t12a	Rdone	1787684540.967408237
t12b	Rdone	1787684542.554288219
t1a	Rdone	1787684455.671561837
t1b	Rdone	1787684457.252405683
t2a	Rdone	1787684463.431643698
t2b	Rdone	1787684465.009194540
t3a	Rdone	1787684471.183712549
t3b	Rdone	1787684472.741790119
t4a	Rdone	1787684478.900966903
t4b	Rdone	1787684480.473205364
t5a	Rdone	1787684486.644582953
t5b	Rdone	1787684488.234313476
t6a	Rdone	1787684494.427656376
t6b	Rdone	1787684496.010105473
t7a	Rdone	1787684502.188254518
t7b	Rdone	1787684503.764623092
t8a	Rdone	1787684509.951227938
t8b	Rdone	1787684511.523258278
t9a	Rdone	1787684517.729031597
t9b	Rdone	1787684519.303760760
warmup	Rdone	1787684450.475564877
