tag	event	ts
t10a	entry	1787684952.681315164
t10b	entry	1787684954.253811166
t11a	entry	1787684963.402781576
t11b	entry	1787684964.966555070
t12a	entry	1787684973.993442009
t12b	entry	1787684975.567217138
t1a	entry	1787684856.889900653
t1b	entry	1787684858.469570955
t2a	entry	1787684867.499388027
t2b	entry	1787684869.083103795
t3a	entry	1787684878.159068668
t3b	entry	1787684879.740212098
t4a	entry	1787684888.824756273
t4b	entry	1787684890.412674127
t5a	entry	1787684899.457227424
t5b	entry	1787684901.024292298
t6a	entry	1787684910.094041874
t6b	entry	1787684911.669905672
t7a	entry	1787684920.719571599
t7b	entry	1787684922.293282980
t8a	entry	1787684931.382716619
t8b	entry	1787684932.966616094
t9a	entry	1787684942.051647728
t9b	entry	1787684943.628408653
warmup	entry	1787684850.834246816
t10a	K	1787684952.681509081
t10b	K	1787684954.254104667
t11a	K	1787684963.403010617
t11b	K	1787684964.966746195
t12a	K	1787684973.993648593
t12b	K	1787684975.567358055
t1a	K	1787684856.890383570
t1b	K	1787684858.469790831
t2a	K	1787684867.499498861
t2b	K	1787684869.083507587
t3a	K	1787684878.159375252
t3b	K	1787684879.740422848
t4a	K	1787684888.825102898
t4b	K	1787684890.413007294
t5a	K	1787684899.457409341
t5b	K	1787684901.024470548
t6a	K	1787684910.094464333
t6b	K	1787684911.670123547
t7a	K	1787684920.719730308
t7b	K	1787684922.293487021
t8a	K	1787684931.383097953
t8b	K	1787684932.966833386
t9a	K	1787684942.052043187
t9b	K	1787684943.628590279
warmup	K	1787684850.834484566
t10a	R	1787684952.804379259
t10b	R	1787684954.382036184
t11a	R	1787684963.529310092
t11b	R	1787684965.092691835
t12a	R	1787684974.117464689
t12b	R	1787684975.679222263
t1a	R	1787684857.021242091
t1b	R	1787684858.590442090
t2a	R	1787684867.626470627
t2b	R	1787684869.217431860
t3a	R	1787684878.290032647
t3b	R	1787684879.860698066
t4a	R	1787684888.955738669
t4b	R	1787684890.540629020
t5a	R	1787684899.577710059
t5b	R	1787684901.149745896
t6a	R	1787684910.222686975
t6b	R	1787684911.790481598
t7a	R	1787684920.842084944
t7b	R	1787684922.421127706
t8a	R	1787684931.509652636
t8b	R	1787684933.089213022
t9a	R	1787684942.182189124
t9b	R	1787684943.748800579
warmup	R	1787684850.955647243
t10a	Rdone	1787684952.814371479
t10b	Rdone	1787684954.394217281
t11a	Rdone	1787684963.539711062
t11b	Rdone	1787684965.103505472
t12a	Rdone	1787684974.127508950
t12b	Rdone	1787684975.688507190
t1a	Rdone	1787684857.033952730
t1b	Rdone	1787684858.600271351
t2a	Rdone	1787684867.636700931
t2b	Rdone	1787684869.229829457
t3a	Rdone	1787684878.304116871
t3b	Rdone	1787684879.874472123
t4a	Rdone	1787684888.967942724
t4b	Rdone	1787684890.549967655
t5a	Rdone	1787684899.587355111
t5b	Rdone	1787684901.160619659
t6a	Rdone	1787684910.233760196
t6b	Rdone	1787684911.799407775
t7a	Rdone	1787684920.854207041
t7b	Rdone	1787684922.432014384
t8a	Rdone	1787684931.522525275
t8b	Rdone	1787684933.101772869
t9a	Rdone	1787684942.193161511
t9b	Rdone	1787684943.757218630
warmup	Rdone	1787684850.964962878
