tag	event	ts
t10a	entry	1787685086.807158207
t10b	entry	1787685088.390208972
t11a	entry	1787685097.482636485
t11b	entry	1787685099.071303507
t12a	entry	1787685108.116549342
t12b	entry	1787685109.688909219
t1a	entry	1787684990.969678437
t1b	entry	1787684992.554564912
t2a	entry	1787685001.673926621
t2b	entry	1787685003.264928811
t3a	entry	1787685012.371280756
t3b	entry	1787685013.955967315
t4a	entry	1787685022.992600516
t4b	entry	1787685024.560862806
t5a	entry	1787685033.616630902
t5b	entry	1787685035.186805612
t6a	entry	1787685044.219473807
t6b	entry	1787685045.788140348
t7a	entry	1787685054.857342377
t7b	entry	1787685056.437296513
t8a	entry	1787685065.495736862
t8b	entry	1787685067.066432531
t9a	entry	1787685076.160820462
t9b	entry	1787685077.747480815
warmup	entry	1787684984.935993293
t10a	K	1787685086.807383416
t10b	K	1787685088.390537222
t11a	K	1787685097.482887860
t11b	K	1787685099.071703924
t12a	K	1787685108.116746383
t12b	K	1787685109.689086136
t1a	K	1787684990.970001187
t1b	K	1787684992.554748662
t2a	K	1787685001.674101038
t2b	K	1787685003.265234812
t3a	K	1787685012.371649423
t3b	K	1787685013.956171066
t4a	K	1787685022.992814433
t4b	K	1787685024.561083181
t5a	K	1787685033.616839028
t5b	K	1787685035.187135196
t6a	K	1787685044.219650682
t6b	K	1787685045.788329348
t7a	K	1787685054.857709127
t7b	K	1787685056.437719138
t8a	K	1787685065.496139696
t8b	K	1787685067.066526031
t9a	K	1787685076.161011713
t9b	K	1787685077.747816898
warmup	K	1787684984.936184168
t10a	R	1787685086.935235350
t10b	R	1787685088.519790200
t11a	R	1787685097.609393376
t11b	R	1787685099.203425737
t12a	R	1787685108.238586768
t12b	R	1787685109.804645473
t1a	R	1787684991.106308589
t1b	R	1787684992.665736661
t2a	R	1787685001.802019139
t2b	R	1787685003.394836415
t3a	R	1787685012.503257237
t3b	R	1787685014.084288208
t4a	R	1787685023.116136904
t4b	R	1787685024.684362985
t5a	R	1787685033.730959447
t5b	R	1787685035.313488877
t6a	R	1787685044.343939446
t6b	R	1787685045.916988325
t7a	R	1787685054.984035560
t7b	R	1787685056.563459487
t8a	R	1787685065.614453328
t8b	R	1787685067.189326668
t9a	R	1787685076.285585559
t9b	R	1787685077.868797366
warmup	R	1787684985.065670104
t10a	Rdone	1787685086.946945780
t10b	Rdone	1787685088.533569340
t11a	Rdone	1787685097.623561017
t11b	Rdone	1787685099.219213004
t12a	Rdone	1787685108.252720159
t12b	Rdone	1787685109.815690319
t1a	Rdone	1787684991.121523981
t1b	Rdone	1787684992.674681421
t2a	Rdone	1787685001.818117866
t2b	Rdone	1787685003.407480512
t3a	Rdone	1787685012.513870290
t3b	Rdone	1787685014.097722223
t4a	Rdone	1787685023.128473334
t4b	Rdone	1787685024.693764246
t5a	Rdone	1787685033.742153917
t5b	Rdone	1787685035.324067097
t6a	Rdone	1787685044.353347998
t6b	Rdone	1787685045.928158254
t7a	Rdone	1787685054.996770366
t7b	Rdone	1787685056.575285542
t8a	Rdone	1787685065.625863675
t8b	Rdone	1787685067.201617598
t9a	Rdone	1787685076.297325489
t9b	Rdone	1787685077.880139004
warmup	Rdone	1787684985.079081244
