config	trial	R_a	K_b	R_b	S	S2	P	W	newer_at_S2	discarded	player_pid	rc	killed_by_sig	alive_s	player_log_sig	audible_s	p_start_ts	p_end_ts	hook_b_target	hook_b_result	worker_claim_target	worker_claim_result	S_b	ordering
C1_prespawn	1	1787683142.841905055	1787683143.281293879	1787683143.408762521	1787683142.851552	1787683143.863287	-	-	1	1	-	-	-	-	-	-	-	-	30974	esrch	30974	ESRCH	1787683143.864987	R<S2 (recheck)
C1_prespawn	2	1787683149.600256257	1787683150.055333056	1787683150.189693540	1787683149.612990	1787683150.624338	-	-	1	1	-	-	-	-	-	-	-	-	31033	esrch	31033	ESRCH	1787683150.626951	R<S2 (recheck)
C1_prespawn	3	1787683156.377358064	1787683156.831844070	1787683156.966198512	1787683156.391069	1787683157.402222	-	-	1	1	-	-	-	-	-	-	-	-	31090	esrch	31090	ESRCH	1787683157.403003	R<S2 (recheck)
C1_prespawn	4	1787683163.158711583	1787683163.623663226	1787683163.752176869	1787683163.174155	1787683164.185473	-	-	1	1	-	-	-	-	-	-	-	-	31148	esrch	31148	ESRCH	1787683164.187476	R<S2 (recheck)
C1_prespawn	5	1787683169.902011560	1787683170.339649298	1787683170.456969178	1787683169.910183	1787683170.916363	-	-	1	1	-	-	-	-	-	-	-	-	31212	esrch	31212	ESRCH	1787683170.917189	R<S2 (recheck)
C1_prespawn	6	1787683176.614837502	1787683177.075299224	1787683177.207524247	1787683176.627638	1787683177.636791	-	-	1	1	-	-	-	-	-	-	-	-	31565	esrch	31565	ESRCH	1787683177.638956	R<S2 (recheck)
C1_prespawn	7	1787683183.399879818	1787683183.851942863	1787683183.982257217	1787683183.410467	1787683184.421291	-	-	1	1	-	-	-	-	-	-	-	-	31632	esrch	31632	ESRCH	1787683184.423765	R<S2 (recheck)
C1_prespawn	8	1787683190.174951413	1787683190.630665837	1787683190.757234187	1787683190.188177	1787683191.199479	-	-	1	1	-	-	-	-	-	-	-	-	31689	esrch	31689	ESRCH	1787683191.200901	R<S2 (recheck)
C1_prespawn	9	1787683196.940409664	1787683197.388349372	1787683197.499754829	1787683196.954800	1787683197.967241	-	-	1	1	-	-	-	-	-	-	-	-	31769	esrch	31769	ESRCH	1787683197.970189	R<S2 (recheck)
C1_prespawn	10	1787683203.662123992	1787683204.101450315	1787683204.216287693	1787683203.671322	1787683204.681092	-	-	1	1	-	-	-	-	-	-	-	-	31831	esrch	31831	ESRCH	1787683204.682538	R<S2 (recheck)
C1_prespawn	11	1787683210.406574762	1787683210.875050659	1787683211.006267764	1787683210.423551	1787683211.436282	-	-	1	1	-	-	-	-	-	-	-	-	31899	esrch	31899	ESRCH	1787683211.437262	R<S2 (recheck)
C1_prespawn	12	1787683217.185832237	1787683217.653040633	1787683217.786047114	1787683217.203444	1787683218.216390	-	-	1	1	-	-	-	-	-	-	-	-	31958	esrch	31958	ESRCH	1787683218.218527	R<S2 (recheck)
C2_hookside	1	1787683230.441025975	1787683232.096905529	1787683232.228286009	1787683230.457021	1787683231.468917	1787683231.473184	1787683231.474411	0	0	32189	0	0	0.6299	15	0.5542	1787683231.543484	1787683232.097668	32189	sent	32189	ESRCH	1787683232.246588	W<R (hook sees live pid)
C2_hookside	2	1787683238.412940530	1787683240.063511161	1787683240.197719103	1787683238.422460	1787683239.433942	1787683239.436258	1787683239.436821	0	0	32271	0	0	0.6329	15	0.5735	1787683239.491310	1787683240.064778	32271	sent	32271	ESRCH	1787683240.211220	W<R (hook sees live pid)
C2_hookside	3	1787683246.395585680	1787683248.059585243	1787683248.181994838	1787683246.414140	1787683247.425658	1787683247.428281	1787683247.429140	0	0	32345	0	0	0.6369	15	0.5678	1787683247.492802	1787683248.060590	32345	sent	32345	ESRCH	1787683248.197256	W<R (hook sees live pid)
C2_hookside	4	1787683254.382606210	1787683256.035908511	1787683256.165214822	1787683254.395127	1787683255.405352	1787683255.407584	1787683255.408083	0	0	32434	0	0	0.6342	15	0.5769	1787683255.460295	1787683256.037231	32434	sent	32434	ESRCH	1787683256.177733	W<R (hook sees live pid)
C2_hookside	5	1787683262.360324230	1787683264.024588877	1787683264.146000970	1787683262.380251	1787683263.392971	1787683263.396820	1787683263.397726	0	0	32510	0	0	0.6338	15	0.5677	1787683263.457913	1787683264.025605	32510	sent	32510	ESRCH	1787683264.153592	W<R (hook sees live pid)
C2_hookside	6	1787683270.320044521	1787683271.989112173	1787683272.115113439	1787683270.340238	1787683271.352225	1787683271.357409	1787683271.359143	0	0	32591	0	0	0.6398	15	0.5755	1787683271.414599	1787683271.990072	32591	sent	32591	ESRCH	1787683272.133472	W<R (hook sees live pid)
C2_hookside	7	1787683278.320943608	1787683279.979752916	1787683280.110373478	1787683278.338858	1787683279.350645	1787683279.353069	1787683279.353816	0	0	32672	0	0	0.6318	15	0.5684	1787683279.412163	1787683279.980597	32672	sent	32672	ESRCH	1787683280.122630	W<R (hook sees live pid)
C2_hookside	8	1787683286.302817341	1787683287.956115101	1787683288.075084942	1787683286.318407	1787683287.330779	1787683287.335788	1787683287.338357	0	0	32731	0	0	0.6274	15	0.5669	1787683287.390099	1787683287.957008	32731	sent	32731	ESRCH	1787683288.089144	W<R (hook sees live pid)
C2_hookside	9	1787683294.256526167	1787683295.909062134	1787683296.030215270	1787683294.266839	1787683295.276710	1787683295.279303	1787683295.280189	0	0	32911	0	0	0.6354	15	0.5640	1787683295.345854	1787683295.909847	32911	sent	32911	ESRCH	1787683296.046696	W<R (hook sees live pid)
C2_hookside	10	1787683302.217081960	1787683303.881252940	1787683304.009619791	1787683302.231941	1787683303.238708	1787683303.244187	1787683303.245399	0	0	32983	0	0	0.646	15	0.5758	1787683303.306799	1787683303.882616	32983	sent	32983	ESRCH	1787683304.020591	W<R (hook sees live pid)
C2_hookside	11	1787683310.205679075	1787683311.871257723	1787683312.000274659	1787683310.222705	1787683311.231070	1787683311.234348	1787683311.235265	0	0	33042	0	0	0.6425	15	0.5767	1787683311.295544	1787683311.872235	33042	sent	33042	ESRCH	1787683312.014383	W<R (hook sees live pid)
C2_hookside	12	1787683318.196340776	1787683319.856119584	1787683320.000305828	1787683318.209877	1787683319.222416	1787683319.227593	1787683319.230327	0	0	33142	0	0	0.6368	15	0.5676	1787683319.289636	1787683319.857192	33142	sent	33142	ESRCH	1787683320.008487	W<R (hook sees live pid)
C3_adversarial	1	1787683332.569833009	1787683334.035881519	1787683334.237857411	1787683332.581866	1787683333.593181	1787683334.618372	1787683334.620047	0	0	33323	-30	30	0.0231	-	0(never_started)	-	-	33261	esrch	33323	sent	1787683334.621896	R<S2<R_b<P<W (adversarial)
C3_adversarial	2	1787683340.426343020	1787683341.880199765	1787683342.006923948	1787683340.438540	1787683341.439937	1787683342.453196	1787683342.454483	0	0	33521	-30	30	0.0058	-	0(never_started)	-	-	33344	esrch	33521	sent	1787683342.455392	R<S2<R_b<P<W (adversarial)
C3_adversarial	3	1787683348.203181148	1787683349.651025929	1787683349.766494099	1787683348.212151	1787683349.224084	1787683350.229942	1787683350.231684	0	0	33598	-30	30	0.0094	-	0(never_started)	-	-	33537	esrch	33598	sent	1787683350.233275	R<S2<R_b<P<W (adversarial)
C3_adversarial	4	1787683355.950275827	1787683357.400338986	1787683357.522960414	1787683355.964346	1787683356.976580	1787683357.984094	1787683357.986083	0	0	33658	-30	30	0.0086	-	0(never_started)	-	-	33615	esrch	33658	sent	1787683357.987388	R<S2<R_b<P<W (adversarial)
C3_adversarial	5	1787683363.717334654	1787683365.181309828	1787683365.313425475	1787683363.734006	1787683364.747036	1787683365.762427	1787683365.764295	0	0	33731	-30	30	0.0102	-	0(never_started)	-	-	33675	esrch	33731	sent	1787683365.766070	R<S2<R_b<P<W (adversarial)
C3_adversarial	6	1787683371.493630199	1787683372.943333649	1787683373.063954575	1787683371.504609	1787683372.507219	1787683373.512070	1787683373.513178	0	0	33796	-30	30	0.0065	-	0(never_started)	-	-	33751	esrch	33796	sent	1787683373.514179	R<S2<R_b<P<W (adversarial)
C3_adversarial	7	1787683379.249456805	1787683380.698636754	1787683380.821170266	1787683379.265478	1787683380.276738	1787683381.292481	1787683381.294502	0	0	33901	-30	30	0.0097	-	0(never_started)	-	-	33823	esrch	33901	sent	1787683381.295922	R<S2<R_b<P<W (adversarial)
C3_adversarial	8	1787683387.012086001	1787683388.467294499	1787683388.601096439	1787683387.024776	1787683388.035282	1787683389.045453	1787683389.047646	0	0	33976	-30	30	0.0104	-	0(never_started)	-	-	33918	esrch	33976	sent	1787683389.049241	R<S2<R_b<P<W (adversarial)
C3_adversarial	9	1787683394.801488394	1787683396.254931849	1787683396.383904326	1787683394.813634	1787683395.821754	1787683396.833845	1787683396.835529	0	0	34040	-30	30	0.0083	-	0(never_started)	-	-	33994	esrch	34040	sent	1787683396.837452	R<S2<R_b<P<W (adversarial)
C3_adversarial	10	1787683402.586194616	1787683404.053534419	1787683404.178315100	1787683402.606002	1787683403.618427	1787683404.629243	1787683404.630101	0	0	34115	-30	30	0.0065	-	0(never_started)	-	-	34059	esrch	34115	sent	1787683404.630891	R<S2<R_b<P<W (adversarial)
C3_adversarial	11	1787683410.351804691	1787683411.814446196	1787683411.952707517	1787683410.365010	1787683411.377078	1787683412.390353	1787683412.391612	0	0	34187	-30	30	0.0067	-	0(never_started)	-	-	34131	esrch	34187	sent	1787683412.392730	R<S2<R_b<P<W (adversarial)
C3_adversarial	12	1787683418.142878294	1787683419.607614719	1787683419.736714779	1787683418.160857	1787683419.173897	1787683420.182387	1787683420.184560	0	0	34249	-30	30	0.0108	-	0(never_started)	-	-	34208	esrch	34249	sent	1787683420.186343	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	1	1787683432.364345109	1787683433.821281900	1787683433.948398916	1787683432.380985	1787683433.393594	1787683434.402284	1787683434.404634	0	0	34405	0	0	2.5845	0	2.5007	1787683434.471246	1787683436.971920	34347	esrch	none	disabled	1787683434.406426	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	2	1787683440.140875196	1787683441.617202216	1787683441.741508313	1787683440.173308	1787683441.185255	1787683442.195917	1787683442.197155	0	0	34492	0	0	2.5776	0	2.5046	1787683442.254294	1787683444.758913	34424	esrch	none	disabled	1787683442.197857	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	3	1787683447.951013820	1787683449.409078738	1787683449.534408377	1787683447.964508	1787683448.976741	1787683449.992756	1787683449.994001	0	0	34670	0	0	2.5772	0	2.5017	1787683450.054291	1787683452.556035	34613	esrch	none	disabled	1787683449.994755	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	4	1787683455.727688157	1787683457.170010766	1787683457.300442245	1787683455.736917	1787683456.746772	1787683457.761929	1787683457.765022	0	0	34750	0	0	2.5805	0	2.5070	1787683457.818238	1787683460.325274	34691	esrch	none	disabled	1787683457.767791	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	5	1787683463.499315322	1787683464.953619652	1787683465.091756765	1787683463.515188	1787683464.527275	1787683465.544217	1787683465.546680	0	0	34807	0	0	2.5769	0	2.5024	1787683465.605389	1787683468.107810	34766	esrch	none	disabled	1787683465.548739	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	6	1787683471.276737078	1787683472.729239405	1787683472.854689045	1787683471.291052	1787683472.303080	1787683473.313676	1787683473.315436	0	0	34888	0	0	2.5931	0	2.5048	1787683473.386923	1787683475.891724	34823	esrch	none	disabled	1787683473.317335	R<S2<R_b<P<W (adversarial)
C4_noclaimkill	7	1787683479.031849141	1787683480.498516692	1787683480.623257915	1787683479.049381	1787683480.059523	1787683481.064510	1787683481.065466	0	0	34962	0	0	2.5868	0	2.5055	1787683481.134410	1787683483.639892	34904	esrch	none	disabled	1787683481.066366	R<S2<R_b<P<W (adversarial)
