config	trial	R_a	K_b	R_b	Rdone_b	S	S2	P	W	newer_at_S2	discarded	player_pid	rc	killed_by_sig	alive_s	player_log_sig	audible_s	p_start_ts	p_end_ts	hook_b_target	hook_b_result	worker_claim_target	worker_claim_result	S_b	ordering
C1_prespawn	1	1787684167.857746647	1787684168.298661139	1787684168.415306019	1787684168.425933906	1787684167.867718	1787684168.874999	-	-	1	1	-	-	-	-	-	-	-	-	44817	esrch	44817	ESRCH	1787684168.877302	R<S2 (recheck)
C1_prespawn	2	1787684174.585019481	1787684175.027979434	1787684175.144498063	1787684175.155301200	1787684174.597863	1787684175.604449	-	-	1	1	-	-	-	-	-	-	-	-	44862	esrch	44862	ESRCH	1787684175.605675	R<S2 (recheck)
C1_prespawn	3	1787684181.297623799	1787684181.732687033	1787684181.848107496	1787684181.858816924	1787684181.304826	1787684182.310595	-	-	1	1	-	-	-	-	-	-	-	-	44956	esrch	44956	ESRCH	1787684182.311064	R<S2 (recheck)
C1_prespawn	4	1787684188.008735115	1787684188.486256397	1787684188.610494785	1787684188.620918755	1787684188.015507	1787684189.021463	-	-	1	1	-	-	-	-	-	-	-	-	45044	esrch	45044	ESRCH	1787684189.023193	R<S2 (recheck)
C1_prespawn	5	1787684194.774682991	1787684195.226131745	1787684195.343966002	1787684195.354652055	1787684194.794464	1787684195.801298	-	-	1	1	-	-	-	-	-	-	-	-	45203	esrch	45203	ESRCH	1787684195.803083	R<S2 (recheck)
C1_prespawn	6	1787684201.525314351	1787684201.970816015	1787684202.089656148	1787684202.101335994	1787684201.538437	1787684202.544034	-	-	1	1	-	-	-	-	-	-	-	-	45267	esrch	45267	ESRCH	1787684202.544398	R<S2 (recheck)
C1_prespawn	7	1787684208.257456858	1787684208.711195738	1787684208.840256299	1787684208.850825811	1787684208.268819	1787684209.276368	-	-	1	1	-	-	-	-	-	-	-	-	45341	esrch	45341	ESRCH	1787684209.278345	R<S2 (recheck)
C1_prespawn	8	1787684215.018819146	1787684215.466368311	1787684215.587861947	1787684215.601083753	1787684215.034776	1787684216.042260	-	-	1	1	-	-	-	-	-	-	-	-	45408	esrch	45408	ESRCH	1787684216.044815	R<S2 (recheck)
C1_prespawn	9	1787684221.770305382	1787684222.214193086	1787684222.330449007	1787684222.341774394	1787684221.783413	1787684222.789859	-	-	1	1	-	-	-	-	-	-	-	-	45477	esrch	45477	ESRCH	1787684222.791627	R<S2 (recheck)
C1_prespawn	10	1787684228.490656208	1787684228.934182786	1787684229.056952381	1787684229.068093644	1787684228.498957	1787684229.505399	-	-	1	1	-	-	-	-	-	-	-	-	45544	esrch	45544	ESRCH	1787684229.506799	R<S2 (recheck)
C1_prespawn	11	1787684235.212319995	1787684235.651535442	1787684235.772210118	1787684235.783861340	1787684235.220944	1787684236.226900	-	-	1	1	-	-	-	-	-	-	-	-	45635	esrch	45635	ESRCH	1787684236.227743	R<S2 (recheck)
C1_prespawn	12	1787684241.938853077	1787684242.379901194	1787684242.490970984	1787684242.500480828	1787684241.949642	1787684242.956176	-	-	1	1	-	-	-	-	-	-	-	-	45764	esrch	45764	ESRCH	1787684242.957364	R<S2 (recheck)
C10a_nopid_pidfile	1	1787686022.741728849	1787686024.391097966	1787686024.523253771	1787686024.538303352	1787686022.747849	1787686023.759083	1787686023.763032	-	0	0	83681	0	0	2.5782	0	2.5028	1787686023.825057	1787686026.327811	none	nopid	none	no_target	1787686024.538386	no pid record (clause i off)
C10a_nopid_pidfile	2	1787686030.708586449	1787686032.363056537	1787686032.490623705	1787686032.502989404	1787686030.719147	1787686031.731675	1787686031.734691	-	0	0	83757	0	0	2.5728	0	2.5044	1787686031.793397	1787686034.297823	none	nopid	none	no_target	1787686032.503026	no pid record (clause i off)
C10a_nopid_pidfile	3	1787686038.668044778	1787686040.324464247	1787686040.447564361	1787686040.459450268	1787686038.679809	1787686039.691258	1787686039.695440	-	0	0	83849	0	0	2.5705	0	2.5018	1787686039.753337	1787686042.255099	none	nopid	none	no_target	1787686040.459554	no pid record (clause i off)
C10a_nopid_pidfile	4	1787686046.628139527	1787686048.283683576	1787686048.412794540	1787686048.423893569	1787686046.642834	1787686047.655244	1787686047.660823	-	0	0	83911	0	0	2.5881	0	2.5023	1787686047.731240	1787686050.233563	none	nopid	none	no_target	1787686048.424022	no pid record (clause i off)
C10a_nopid_pidfile	5	1787686054.577687247	1787686056.224032814	1787686056.358246291	1787686056.371840910	1787686054.585660	1787686055.597789	1787686055.602536	-	0	0	83989	0	0	2.5835	0	2.5009	1787686055.671326	1787686058.172211	none	nopid	none	no_target	1787686056.372082	no pid record (clause i off)
C10a_nopid_pidfile	6	1787686062.546158142	1787686064.202884695	1787686064.333530246	1787686064.346427738	1787686062.558937	1787686063.564601	1787686063.568580	-	0	0	84066	0	0	2.581	0	2.5074	1787686063.628849	1787686066.136215	none	nopid	none	no_target	1787686064.346528	no pid record (clause i off)
C10a_nopid_pidfile	7	1787686070.498973830	1787686072.145942357	1787686072.273679234	1787686072.284130928	1787686070.509634	1787686071.521257	1787686071.525535	-	0	0	84142	0	0	2.5693	0	2.5045	1787686071.578785	1787686074.083256	none	nopid	none	no_target	1787686072.284269	no pid record (clause i off)
C10a_nopid_pidfile	8	1787686078.433380469	1787686080.085218884	1787686080.217445106	1787686080.230737807	1787686078.448769	1787686079.456119	1787686079.460312	-	0	0	84208	0	0	2.5784	0	2.5083	1787686079.521730	1787686082.030037	none	nopid	none	no_target	1787686080.230856	no pid record (clause i off)
C10a_nopid_pidfile	9	1787686086.396982518	1787686088.047361887	1787686088.169503124	1787686088.179062608	1787686086.413038	1787686087.424663	1787686087.430017	-	0	0	84307	0	0	2.5625	0	2.5076	1787686087.473795	1787686089.981383	none	nopid	none	no_target	1787686088.179280	no pid record (clause i off)
C10a_nopid_pidfile	10	1787686094.347550075	1787686096.005234047	1787686096.128367161	1787686096.139011689	1787686094.363470	1787686095.372092	1787686095.375852	-	0	0	84387	0	0	2.5823	0	2.5033	1787686095.442517	1787686097.945863	none	nopid	none	no_target	1787686096.139267	no pid record (clause i off)
C10a_nopid_pidfile	11	1787686102.299458927	1787686103.961883119	1787686104.081811683	1787686104.091834710	1787686102.310369	1787686103.312635	1787686103.315174	-	0	0	84448	0	0	2.5762	0	2.5036	1787686103.377900	1787686105.881545	none	nopid	none	no_target	1787686104.092000	no pid record (clause i off)
C10a_nopid_pidfile	12	1787686110.243604258	1787686111.880961385	1787686112.000118697	1787686112.012295312	1787686110.252154	1787686111.264300	1787686111.269557	-	0	0	84524	0	0	2.5762	0	2.5043	1787686111.331452	1787686113.835795	none	nopid	none	no_target	1787686112.012502	no pid record (clause i off)
C10b_nopid_handle	1	1787686124.560083924	1787686126.216994435	1787686126.337645919	1787686126.349443324	1787686124.575944	1787686125.590326	1787686125.593144	-	0	0	84675	-30	30	0.7607	30	0.7027	1787686125.647347	1787686126.350048	none	nopid	84675	sent	1787686126.349638	no pid record (clause i off)
C10b_nopid_handle	2	1787686132.516787955	1787686134.161532809	1787686134.284014922	1787686134.296097829	1787686132.531215	1787686133.542614	1787686133.545073	-	0	0	84732	-30	30	0.7557	30	0.6970	1787686133.599817	1787686134.296771	none	nopid	84732	sent	1787686134.296280	no pid record (clause i off)
C10b_nopid_handle	3	1787686140.469037891	1787686142.109126067	1787686142.228495546	1787686142.239169949	1787686140.478613	1787686141.490303	1787686141.494742	-	0	0	84809	-30	30	0.7501	30	0.6871	1787686141.552512	1787686142.239659	none	nopid	84809	sent	1787686142.239328	no pid record (clause i off)
C10b_nopid_handle	4	1787686148.411769260	1787686150.071701321	1787686150.195681438	1787686150.204087293	1787686148.423796	1787686149.435351	1787686149.442215	-	0	0	84927	-30	30	0.7704	30	0.6930	1787686149.511800	1787686150.204762	none	nopid	84927	sent	1787686150.204294	no pid record (clause i off)
C10b_nopid_handle	5	1787686156.367526622	1787686158.025076135	1787686158.148760501	1787686158.158461318	1787686156.379952	1787686157.382751	1787686157.387096	-	0	0	85069	-30	30	0.7778	30	0.6947	1787686157.464693	1787686158.159367	none	nopid	85069	sent	1787686158.158869	no pid record (clause i off)
C10b_nopid_handle	6	1787686164.309313489	1787686165.970836387	1787686166.089906950	1787686166.101426605	1787686164.320866	1787686165.330901	1787686165.335277	-	0	0	85343	-30	30	0.7743	30	0.7105	1787686165.392981	1787686166.103478	none	nopid	85343	sent	1787686166.101622	no pid record (clause i off)
C10b_nopid_handle	7	1787686172.269894072	1787686173.924004576	1787686174.042169969	1787686174.054661710	1787686172.282094	1787686173.293459	1787686173.298537	-	0	0	85549	-30	30	0.7627	30	0.7008	1787686173.354408	1787686174.055207	none	nopid	85549	sent	1787686174.054807	no pid record (clause i off)
C10b_nopid_handle	8	1787686180.224064721	1787686181.872133418	1787686181.990142894	1787686182.001117423	1787686180.234943	1787686181.246017	1787686181.249434	-	0	0	85669	-30	30	0.757	30	0.6949	1787686181.306782	1787686182.001716	none	nopid	85669	sent	1787686182.001278	no pid record (clause i off)
C10b_nopid_handle	9	1787686188.173628983	1787686189.814714953	1787686189.923568489	1787686189.933378806	1787686188.186390	1787686189.197307	1787686189.209429	-	0	0	86261	-30	30	0.737	30	0.6863	1787686189.247409	1787686189.933758	none	nopid	86261	sent	1787686189.933471	no pid record (clause i off)
C10b_nopid_handle	10	1787686196.098407181	1787686197.752152850	1787686197.877832555	1787686197.890285546	1787686196.112299	1787686197.116048	1787686197.121246	-	0	0	86407	-30	30	0.7771	30	0.7068	1787686197.185036	1787686197.891800	none	nopid	86407	sent	1787686197.891152	no pid record (clause i off)
C10b_nopid_handle	11	1787686204.019304284	1787686205.665498684	1787686205.790405304	1787686205.800512830	1787686204.028635	1787686205.031379	1787686205.034643	-	0	0	86744	-30	30	0.7707	30	0.7118	1787686205.089210	1787686205.800990	none	nopid	86744	sent	1787686205.800634	no pid record (clause i off)
C10b_nopid_handle	12	1787686211.944813567	1787686213.568580366	1787686213.688798848	1787686213.696969036	1787686211.949989	1787686212.950909	1787686212.956528	-	0	0	87005	-30	30	0.7473	30	0.6902	1787686213.007104	1787686213.697330	none	nopid	87005	sent	1787686213.697091	no pid record (clause i off)
C2_hookside	1	1787684254.950706793	1787684256.581306361	1787684256.692745527	1787684256.700972161	1787684254.955612	1787684255.962230	1787684255.968008	1787684255.969114	0	0	46179	-15	15	0.6202	15	0.5523	1787684256.029455	1787684256.581801	46179	sent	46179	ESRCH	1787684256.701093	W<R (hook sees live pid)
C2_hookside	2	1787684262.857560359	1787684264.505030154	1787684264.622897160	1787684264.631941087	1787684262.870821	1787684263.877175	1787684263.883798	1787684263.885205	0	0	46280	-15	15	0.6297	15	0.5584	1787684263.947201	1787684264.505619	46280	sent	46280	ESRCH	1787684264.632135	W<R (hook sees live pid)
C2_hookside	3	1787684270.784091821	1787684272.427286446	1787684272.545271868	1787684272.556779131	1787684270.794937	1787684271.801371	1787684271.805285	1787684271.806676	0	0	46362	-15	15	0.6275	15	0.5537	1787684271.874091	1787684272.427795	46362	sent	46362	ESRCH	1787684272.556863	W<R (hook sees live pid)
C2_hookside	4	1787684278.727926637	1787684280.372195304	1787684280.482958177	1787684280.487486515	1787684278.740857	1787684279.745172	1787684279.748064	1787684279.748744	0	0	46452	-15	15	0.6289	15	0.5632	1787684279.809514	1787684280.372737	46452	sent	46452	ESRCH	1787684280.487683	W<R (hook sees live pid)
C2_hookside	5	1787684286.632173908	1787684288.277369118	1787684288.393521664	1787684288.402506591	1787684286.644913	1787684287.652027	1787684287.659266	1787684287.661193	0	0	46522	-15	15	0.6269	15	0.5554	1787684287.722536	1787684288.277979	46522	sent	46522	ESRCH	1787684288.402587	W<R (hook sees live pid)
C2_hookside	6	1787684294.578449184	1787684296.222562351	1787684296.343699903	1787684296.353519289	1787684294.587313	1787684295.594408	1787684295.600308	1787684295.601702	0	0	46607	-15	15	0.6304	15	0.5609	1787684295.662454	1787684296.223332	46607	sent	46607	ESRCH	1787684296.353676	W<R (hook sees live pid)
C2_hookside	7	1787684302.520562747	1787684304.173326549	1787684304.291920098	1787684304.299277898	1787684302.534690	1787684303.539852	1787684303.544595	1787684303.545379	0	0	46723	-15	15	0.6363	15	0.5725	1787684303.601752	1787684304.174271	46723	sent	46723	ESRCH	1787684304.299408	W<R (hook sees live pid)
C2_hookside	8	1787684310.456635887	1787684312.106461727	1787684312.226382611	1787684312.236179664	1787684310.467899	1787684311.470591	1787684311.474158	1787684311.475121	0	0	46783	-15	15	0.6378	15	0.5292	1787684311.578364	1787684312.107592	46783	sent	46783	ESRCH	1787684312.236256	W<R (hook sees live pid)
C2_hookside	9	1787684318.391142818	1787684320.042517201	1787684320.169758551	1787684320.182433190	1787684318.402137	1787684319.408849	1787684319.413586	1787684319.415844	0	0	46875	-15	15	0.6369	15	0.5693	1787684319.474591	1787684320.043876	46875	sent	46875	ESRCH	1787684320.182582	W<R (hook sees live pid)
C2_hookside	10	1787684326.356470657	1787684328.012058795	1787684328.128573008	1787684328.136005475	1787684326.371888	1787684327.376789	1787684327.379927	1787684327.380812	0	0	46953	-15	15	0.6373	15	0.5846	1787684327.427946	1787684328.012584	46953	sent	46953	ESRCH	1787684328.136144	W<R (hook sees live pid)
C2_hookside	11	1787684334.290486962	1787684335.936410963	1787684336.052787052	1787684336.064164981	1787684334.300843	1787684335.306930	1787684335.310349	1787684335.311227	0	0	47034	-15	15	0.6315	15	0.5687	1787684335.368429	1787684335.937081	47034	sent	47034	ESRCH	1787684336.064295	W<R (hook sees live pid)
C2_hookside	12	1787684342.227023394	1787684343.887679912	1787684344.010959674	1787684344.028312902	1787684342.242777	1787684343.248939	1787684343.251488	1787684343.252106	0	0	47101	-15	15	0.6434	15	0.5841	1787684343.305914	1787684343.890026	47101	sent	47101	ESRCH	1787684344.028306	W<R (hook sees live pid)
C3_adversarial	1	1787684356.580783355	1787684358.022995714	1787684358.138767051	1787684358.146589102	1787684356.590438	1787684357.596469	1787684358.604670	1787684358.605514	0	0	47280	-30	30	0.0048	-	0(never_started)	-	-	47221	esrch	47280	sent	1787684358.606130	R<S2<R_b<P<W (adversarial)
C3_adversarial	2	1787684364.310536891	1787684365.770330060	1787684365.894321156	1787684365.907090837	1787684364.324762	1787684365.332179	1787684366.342617	1787684366.345118	0	0	47380	-30	30	0.0144	-	0(never_started)	-	-	47320	esrch	47380	sent	1787684366.348142	R<S2<R_b<P<W (adversarial)
C3_adversarial	3	1787684372.065166787	1787684373.513967652	1787684373.626531569	1787684373.639756417	1787684372.078438	1787684373.083943	1787684374.093076	1787684374.094595	0	0	47460	-30	30	0.0089	-	0(never_started)	-	-	47396	esrch	47460	sent	1787684374.095881	R<S2<R_b<P<W (adversarial)
C3_adversarial	4	1787684379.790916067	1787684381.242217435	1787684381.366712199	1787684381.378635671	1787684379.804906	1787684380.811469	1787684381.817615	1787684381.819319	0	0	47522	-30	30	0.0091	-	0(never_started)	-	-	47461	esrch	47522	sent	1787684381.820747	R<S2<R_b<P<W (adversarial)
C3_adversarial	5	1787684387.515766888	1787684388.954269242	1787684389.065737908	1787684389.074939127	1787684387.520201	1787684388.526907	1787684389.533507	1787684389.534646	0	0	47607	-30	30	0.0058	-	0(never_started)	-	-	47538	esrch	47607	sent	1787684389.535347	R<S2<R_b<P<W (adversarial)
C3_adversarial	6	1787684395.225045901	1787684396.666547216	1787684396.773679335	1787684396.778576591	1787684395.234503	1787684396.237267	1787684397.244225	1787684397.245004	0	0	47742	-30	30	0.0034	-	0(never_started)	-	-	47624	esrch	47742	sent	1787684397.245441	R<S2<R_b<P<W (adversarial)
C3_adversarial	7	1787684402.925764611	1787684404.370029055	1787684404.487522269	1787684404.498303739	1787684402.935827	1787684403.942574	1787684404.951212	1787684404.952563	0	0	47818	-30	30	0.0068	-	0(never_started)	-	-	47760	esrch	47818	sent	1787684404.953786	R<S2<R_b<P<W (adversarial)
C3_adversarial	8	1787684410.652921268	1787684412.104901471	1787684412.233341114	1787684412.249608049	1787684410.664565	1787684411.668437	1787684412.674002	1787684412.674524	0	0	47991	-30	30	0.0031	-	0(never_started)	-	-	47837	esrch	47991	sent	1787684412.674930	R<S2<R_b<P<W (adversarial)
C3_adversarial	9	1787684418.414103755	1787684419.856031196	1787684419.965000901	1787684419.969606614	1787684418.429455	1787684419.433637	1787684420.442274	1787684420.443427	0	0	48274	-30	30	0.0057	-	0(never_started)	-	-	48037	esrch	48274	sent	1787684420.444120	R<S2<R_b<P<W (adversarial)
C3_adversarial	10	1787684426.110514295	1787684427.550684191	1787684427.673627662	1787684427.684263757	1787684426.120752	1787684427.127468	1787684428.137119	1787684428.138169	0	0	48376	-30	30	0.0069	-	0(never_started)	-	-	48315	esrch	48376	sent	1787684428.139033	R<S2<R_b<P<W (adversarial)
C3_adversarial	11	1787684433.835408741	1787684435.284707524	1787684435.401532946	1787684435.414857669	1787684433.845646	1787684434.855219	1787684435.863856	1787684435.865157	0	0	48446	-30	30	0.0061	-	0(never_started)	-	-	48396	esrch	48446	sent	1787684435.866016	R<S2<R_b<P<W (adversarial)
