config	trial	R_a	K_b	R_b	Rdone_b	S	S2	P	W	newer_at_S2	discarded	player_pid	rc	killed_by_sig	alive_s	player_log_sig	audible_s	p_start_ts	p_end_ts	hook_b_target	hook_b_result	worker_claim_target	worker_claim_result	S_b	ordering
C1_prespawn	1	1787692792.118360334	1787692792.563916623	1787692792.693771796	1787692792.709180421	1787692792.126450	1787692793.137309	-	-	1	1	-	-	-	-	-	-	-	-	55001	esrch	55001	ESRCH	1787692793.138366	R<S2 (recheck)
C1_prespawn	2	1787692798.866712117	1787692799.316256654	1787692799.436958760	1787692799.451486686	1787692798.879163	1787692799.891192	-	-	1	1	-	-	-	-	-	-	-	-	55091	esrch	55091	ESRCH	1787692799.892629	R<S2 (recheck)
C1_prespawn	3	1787692805.642449519	1787692806.096240968	1787692806.221871979	1787692806.232548405	1787692805.654502	1787692806.664291	-	-	1	1	-	-	-	-	-	-	-	-	55149	esrch	55149	ESRCH	1787692806.665946	R<S2 (recheck)
C1_prespawn	4	1787692812.410286924	1787692812.865407983	1787692812.982649669	1787692812.991156201	1787692812.429324	1787692813.441683	-	-	1	1	-	-	-	-	-	-	-	-	55233	esrch	55233	ESRCH	1787692813.443906	R<S2 (recheck)
C1_prespawn	5	1787692819.147621868	1787692819.585391657	1787692819.700617656	1787692819.710232969	1787692819.155810	1787692820.158337	-	-	1	1	-	-	-	-	-	-	-	-	55320	esrch	55320	ESRCH	1787692820.161352	R<S2 (recheck)
C1_prespawn	6	1787692825.869448480	1787692826.335897417	1787692826.462476668	1787692826.472989095	1787692825.895103	1787692826.906152	-	-	1	1	-	-	-	-	-	-	-	-	55409	esrch	55409	ESRCH	1787692826.906760	R<S2 (recheck)
C1_prespawn	7	1787692832.648066810	1787692833.091656952	1787692833.201828464	1787692833.210572703	1787692832.657742	1787692833.668942	-	-	1	1	-	-	-	-	-	-	-	-	55590	esrch	55590	ESRCH	1787692833.670699	R<S2 (recheck)
C1_prespawn	8	1787692839.375689526	1787692839.827281415	1787692839.954676532	1787692839.969572162	1787692839.389846	1787692840.400810	-	-	1	1	-	-	-	-	-	-	-	-	55704	esrch	55704	ESRCH	1787692840.402373	R<S2 (recheck)
C1_prespawn	9	1787692846.133192459	1787692846.577457761	1787692846.697676165	1787692846.708978333	1787692846.142055	1787692847.143289	-	-	1	1	-	-	-	-	-	-	-	-	55774	esrch	55774	ESRCH	1787692847.144206	R<S2 (recheck)
C1_prespawn	10	1787692852.873191582	1787692853.333327088	1787692853.464172459	1787692853.478812800	1787692852.889452	1787692853.901799	-	-	1	1	-	-	-	-	-	-	-	-	55832	esrch	55832	ESRCH	1787692853.904437	R<S2 (recheck)
C1_prespawn	11	1787692859.650706382	1787692860.105470112	1787692860.237068849	1787692860.248452476	1787692859.665583	1787692860.678392	-	-	1	1	-	-	-	-	-	-	-	-	55891	esrch	55891	ESRCH	1787692860.679701	R<S2 (recheck)
C1_prespawn	12	1787692866.414112210	1787692866.864695485	1787692866.996684552	1787692867.013737408	1787692866.424007	1787692867.435468	-	-	1	1	-	-	-	-	-	-	-	-	55949	esrch	55949	ESRCH	1787692867.438931	R<S2 (recheck)
C10a_nopid_pidfile	1	1787693751.158424794	1787693752.831830582	1787693752.954766484	1787693752.993374090	1787693751.176663	1787693752.183365	1787693752.186964	-	0	0	64976	0	0	2.5806	0	2.5048	1787693752.251437	1787693754.756234	none	nopid	none	no_target	1787693752.995984	no pid record (clause i off)
